strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,family,variant_id,params,calmar,trading_costs_total,funding_costs_total,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_cash,pct_cash_sessions,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,beats_guarded_all_three
Guarded profit skim 10% -> cash,0.16397814931679555,0.1337345280451687,3.1193645395516922,-0.21403211782834033,4945.637660847201,711,33.72936275266162,profit_skim,skim_10_cash,"{""after_lev"": 0.0, ""profit_thresh"": 0.1}",0.7661380496562229,,,,,,,,,,,33.72936275266163,-2.1725398405020746,-0.05647163212817352,0.22136656245962116,False
Guarded profit skim 20% -> half,0.177851558388318,0.1367513296362223,3.1141926761008225,-0.21543171021554203,6710.64939400196,709,31.337756519055702,profit_skim,skim_20_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.2}",0.8255588660108365,,,,,,,,,,,31.337756519055702,-0.7851989333498288,-0.06164349557904325,0.08140732373945192,False
Guarded Donchian55+SMA20 exit,0.18270107783094658,0.13564420661620916,3.105384821734817,-0.216023548226979,7459.803819062027,675,33.42076839993828,donchian,breakout_sma_exit,,0.8457461204135948,,,,,,,,,,,33.42076839993828,-0.3002469890869719,-0.07045134994504876,0.022223522595754552,False
Guarded ATR trail k=2.0 (entry>SMA20),0.18446455214030322,0.13716815077504416,3.101766567428742,-0.21631365157202231,7751.657580994635,683,31.229748495602532,atr_trail,atr_k2.0,"{""atr_k"": 2.0}",0.8527642652219994,,,,,,,,,,,31.229748495602532,-0.12389955815130804,-0.07406960425112397,-0.006786811908576773,False
Guarded sell buffer X=-0.008,0.18799184319428974,0.13740233973374258,3.0748829892955003,-0.20193567750735109,8368.696864965455,667,31.30689708378337,sell_buffer,buf_m0p8%,"{""sell_buffer_x"": -0.008}",0.9309491295189591,,,,,,,,,,,31.306897083783365,0.2288295472473445,-0.10095318238436546,1.431010594558546,False
Guarded weekly gate + buffer -0.9%,0.19055814638825153,0.13727350261369184,3.035836400296543,-0.22770294329102078,8847.014190245414,645,31.754358895232215,combined,combo_weekly_buf09,"{""sell_buffer_x"": -0.009, ""weekly_gate"": true}",0.8368716874454472,,,,,,,,,,,31.75435889523222,0.4854598666435228,-0.13999977138332298,-1.1457159838084237,False
Guarded vol0.75 Q4 + buffer -0.9%,0.1845245968131286,0.1360496010424432,3.0063161475273095,-0.20265769137052983,7761.785649602314,679,30.766856966517516,combined,combo_vol75_buf09,"{""sell_buffer_x"": -0.009, ""vol_scale"": 0.75}",0.9105235314052427,,,,,,,,,,,30.766856966517512,-0.11789509086876926,-0.1695200241525563,1.3588092082406718,False
Guarded sell buffer X=-0.009,0.19139790358903652,0.13787482677542062,3.0030084520930433,-0.20133467119402024,9009.159186658397,637,30.766856966517516,sell_buffer,buf_m0p9%,"{""sell_buffer_x"": -0.009}",0.9506455219756564,,,,,,,,,,,30.766856966517512,0.5694355867220224,-0.17282771958682241,1.4911112258916308,False
Guarded + buffer -0.9%,0.19139790358903652,0.13787482677542062,3.0030084520930433,-0.20133467119402024,9009.159186658397,637,30.766856966517516,combined,combo_buf09,"{""sell_buffer_x"": -0.009}",0.9506455219756564,,,,,,,,,,,30.766856966517512,0.5694355867220224,-0.17282771958682241,1.4911112258916308,False
Guarded profit skim 10% -> half,0.16826239300490697,0.13638275552606544,2.9808331343188184,-0.21417023714474545,5436.513686556293,711,28.390680450547755,profit_skim,skim_10_half,"{""after_lev"": 0.5, ""profit_thresh"": 0.1}",0.7856478810881085,,,,,,,,,,,28.390680450547755,-1.7441154716909324,-0.1950030373610474,0.20755463081910952,False
