strategy,cagr,ann_volatility,sharpe,sortino,max_drawdown,end_value,trades,pct_cash,avg_leverage
B2 + Slope Leverage Scale (max 3x),0.17506614913183927,0.324719988797054,0.623593477568879,0.6686638940958703,-0.47809857502063485,12622.553543374039,168,28.67929527089681,2.7161961367013374
B1 + ADX Leverage Scale (max 3x),0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B2 + ADX Leverage Scale (max 3x),0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B1 + Mild RSI Leverage Scale (max 3x),0.15105383976108455,0.31027414691572247,0.6749572150536012,0.7117803486334903,-0.4919010187198277,6794.910177636843,1298,28.613061332626838,2.408795694934125
B2 + Mild RSI Leverage Scale (max 3x),0.15105383976108455,0.31027414691572247,0.6749572150536012,0.7117803486334903,-0.4919010187198277,6794.910177636843,1298,28.613061332626838,2.408795694934125
B1 + Distance Leverage Scale (max 3x),0.18115209621234607,0.28393912950067507,0.7439024861584573,0.7735538962065386,-0.49382960500004086,14738.160972203203,582,28.613061332626838,2.10280200408239
B2 + Distance Leverage Scale (max 3x),0.18115209621234607,0.28393912950067507,0.7439024861584573,0.7735538962065386,-0.49382960500004086,14738.160972203203,582,28.613061332626838,2.10280200408239
B1 + Slope>0 + 2-Day Persist,0.17083631853963532,0.3554272348471683,0.5758006006100723,0.6152561917605426,-0.5721815504485895,11328.4307543494,46,30.613326268379918,3.0
B2 + Slope>0 + 2-Day Persist,0.14722205558144585,0.23700375771952847,0.6197538286105527,0.6610072508864644,-0.4088129891221887,6148.160034369693,46,30.613326268379918,2.0
B1 + Slope>0 + ADX>20,0.1780238671943739,0.3507663788091628,0.604701704935272,0.6536688464341304,-0.5554631219593036,13611.185708622901,48,30.613326268379918,3.0
B2 + Slope>0 + ADX>20,0.15138654936857354,0.23386423738304452,0.6488761532739014,0.7005460241187974,-0.3957412038827841,6854.071282079278,48,30.613326268379918,2.0
B1 + Slope>0 + SMA50>SMA200,0.1724712282460954,0.3432958767606784,0.5864384374334023,0.626408576195959,-0.5067723871561309,11812.655174859749,50,32.918267320174856,3.0
B2 + Slope>0 + SMA50>SMA200,0.14697059193885154,0.22888749958790272,0.6304823877174168,0.6729202870806247,-0.32751246128990663,6107.864661214615,50,32.918267320174856,2.0
B1 + Slope>0 + Slope Leverage Scale,0.16601877845346347,0.3239720787160727,0.5999950840918885,0.6373636005883752,-0.5092523732085225,10010.548731488781,163,30.600079480725924,2.76369536171025
B2 + Slope>0 + Slope Leverage Scale,0.16601877845346347,0.3239720787160727,0.5999950840918885,0.6373636005883752,-0.5092523732085225,10010.548731488781,163,30.600079480725924,2.76369536171025
B1 + ADX>20 + ADX Leverage Scale,0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B2 + ADX>20 + ADX Leverage Scale,0.2061803873731225,0.3579808196119556,0.6631421543080498,0.7304565450677228,-0.531898898572351,27643.881444979357,32,28.613061332626838,3.0
B3 + SMA200 Slope>0,0.12832330687257687,0.18912826135717292,0.7444988158881459,0.7406494491140451,-0.2916793602311383,3735.570426862624,695,30.613326268379918,1.2766323024054982
B3 + ADX>20,0.1459751069236057,0.19315819681201168,0.8179593071739231,0.833932857420823,-0.2916793602311382,5950.836064255165,707,28.613061332626838,1.2826127296344405
B3 + 2-Day Persist,0.12346929091024594,0.14047356270939562,0.7441780801389668,0.7622209301393192,-0.3634003248472617,3282.4190158650727,32,28.626308120280832,1.0657015590200445
B4 + SMA200 Slope>0,0.13863160738351188,0.2000050474094047,0.7277160514732932,0.7195387740868899,-0.31131495861203445,4907.1687487083345,428,30.613326268379918,1.2915234822451318
