Date,equity
2020-09-15,17146.536051646308
2020-09-16,17148.166454660943
2020-09-17,17116.29276010521
2020-09-18,17078.435435368552
2020-09-21,17004.653879971112
2020-09-22,17004.713261301797
2020-09-23,17004.772642839846
2020-09-24,17004.835398549894
2020-09-25,17004.896130107307
2020-09-28,17152.393338777212
2020-09-29,17039.451960953924
2020-09-30,17210.12261454896
2020-10-01,17391.250559788896
2020-10-02,17077.561146206714
2020-10-05,17493.177917444522
2020-10-06,17192.36553248826
2020-10-07,17567.031739416023
2020-10-08,17749.554418880674
2020-10-09,18017.310852447936
2020-10-12,18464.74022329087
2020-10-13,18270.612362948523
2020-10-14,18118.0879379464
2020-10-15,18030.49841101845
2020-10-16,18008.862013892587
2020-10-19,17651.60351326885
2020-10-20,17790.598140956095
2020-10-21,17757.7427929919
2020-10-22,17825.522391564202
2020-10-23,17933.04202183857
2020-10-26,17656.11116927296
2020-10-27,17639.156074426857
2020-10-28,17538.50094197337
2020-10-29,17538.431928100974
2020-10-30,17514.343424194067
2020-11-02,17519.654637012547
2020-11-03,17544.703116925673
2020-11-04,17979.439582286126
2020-11-05,18539.86623774658
2020-11-06,18554.881034088947
2020-11-09,18743.903190721063
2020-11-10,18622.379188149876
2020-11-11,18927.6592028254
2020-11-12,18704.368211007917
2020-11-13,19002.447942175357
2020-11-16,19312.74422869585
2020-11-17,19171.464065787444
2020-11-18,18949.708118815608
2020-11-19,19034.970248210913
2020-11-20,18897.476792630474
2020-11-23,19008.666379330614
2020-11-24,19424.534517781107
2020-11-25,19384.936879340978
2020-11-26,19361.031130525087
2020-11-27,19485.52559873773
2020-11-30,19322.765360685546
2020-12-01,19725.77874584602
2020-12-02,19766.011035935982
2020-12-03,19818.897200514795
2020-12-04,20032.1919538785
2020-12-07,20032.6099487308
2020-12-08,20103.395888174746
2020-12-09,19762.768896630987
2020-12-10,19769.05227009356
2020-12-11,19701.194176599907
2020-12-14,19655.62033668921
2020-12-15,20022.599794440153
2020-12-16,20149.19103115447
2020-12-17,20365.645941660292
2020-12-18,20262.0514924038
2020-12-21,20061.17036646246
2020-12-22,20029.915826826455
2020-12-23,20103.59245055363
2020-12-24,20227.325265222782
2020-12-28,20445.091154742888
2020-12-29,20503.279601705966
2020-12-30,20559.91810848278
2020-12-31,20676.41270246735
2021-01-04,20396.8974612844
2021-01-05,20670.316388341707
2021-01-06,20643.575675805547
2021-01-07,20860.577073787696
2021-01-08,21043.91531610034
2021-01-11,20801.2520716978
2021-01-12,20818.6584649668
2021-01-13,20868.784700643715
2021-01-14,20853.59083568244
2021-01-15,20678.56701430104
2021-01-18,20682.2588089662
2021-01-19,20887.076988791086
2021-01-20,21267.506990640803
2021-01-21,21314.43706907329
2021-01-22,21180.96258855667
2021-01-25,21261.098898920383
2021-01-26,21229.345345439222
2021-01-27,20920.680190596217
2021-01-28,20955.401161027694
2021-01-29,20859.241832082487
2021-02-01,21001.12314856732
2021-02-02,21160.96412323409
2021-02-03,21167.38510994714
2021-02-04,21349.68393638922
2021-02-05,21472.291242304083
2021-02-08,21591.234983410875
2021-02-09,21624.502626897032
2021-02-10,21608.535051566167
2021-02-11,21675.333879169688
2021-02-12,21730.711324579
2021-02-15,21790.61940474752
2021-02-16,21775.245784195824
2021-02-17,21692.893309488416
2021-02-18,21543.766273814657
2021-02-19,21535.00619232346
2021-02-22,21371.7912253192
2021-02-23,21365.454970557614
2021-02-24,21502.943904205367
2021-02-25,21398.19395171869
2021-02-26,21352.963431046406
2021-03-01,21518.301936083237
2021-03-02,21424.425209529516
2021-03-03,21465.097189149772
2021-03-04,21443.079062631947
2021-03-05,21409.603543266032
2021-03-08,21415.4504976633
2021-03-09,21442.463939063033
2021-03-10,21411.537710987683
2021-03-11,21677.433345608966
2021-03-12,21579.521019583557
2021-03-15,21645.185105909553
2021-03-16,21679.832511507528
2021-03-17,21691.633586492666
2021-03-18,21445.37947633897
2021-03-19,21408.119038532473
2021-03-22,21576.985065297762
2021-03-23,21401.83122879529
2021-03-24,21219.20506813424
2021-03-25,21080.80528795802
2021-03-26,21297.182581837413
2021-03-29,21240.70878112844
2021-03-30,21171.35279046429
2021-03-31,21277.898463006113
2021-04-01,21573.98921872902
2021-04-05,21852.87649796159
2021-04-06,21914.474125712833
2021-04-07,21919.629521019615
2021-04-08,22102.81646803208
2021-04-09,22170.95505199413
2021-04-12,22104.005089535265
2021-04-13,22275.556456578317
2021-04-14,22154.62391302445
2021-04-15,22467.471310953293
2021-04-16,22542.046371085788
2021-04-19,22394.696136805447
2021-04-20,22203.82324799124
2021-04-21,22400.09453452725
2021-04-22,22235.184855416242
2021-04-23,22465.96680616989
2021-04-26,22572.537632657113
2021-04-27,22502.35064201281
2021-04-28,22495.512516845072
2021-04-29,22567.663493270717
2021-04-30,22391.77188678951
2021-05-03,22420.361150665387
2021-05-04,22205.49873814303
2021-05-05,22232.553315876987
