strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.7040738129089645,0.4272309870861084,3.203923440335637,-0.4668916900228503,16971.18548846341,284,19291.76360955959,983.4920510294605,1,1,254,851,34.960317460317455,0.31746031746031744,13.928571428571429,50.79365079365079,21
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2801003547890746,0.29485765027275357,3.7349845458481736,-0.26945147202045217,1073.0972054881258,333,2393.1776165592883,75.63121233612452,2,2,0,816,38.76984126984127,12.936507936507939,6.428571428571428,41.86507936507937,22
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3512795025581099,0.3251782965066242,3.060085838323786,-0.2653138914642214,1809.0354633084683,273,2860.5275441104195,122.90053123092486,2,2,245,612,30.674603174603178,12.936507936507939,7.579365079365079,48.80952380952381,22
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.3299915627536143,0.3110739860000012,3.049872209590054,-0.2631571762378398,1551.9988059616815,275,2583.4665885410254,101.52079824527972,3,3,245,622,30.5952380952381,12.936507936507939,15.99206349206349,40.476190476190474,22
Original strict SMA20,0.0,0.25,0.3333333333333333,0.39491228795622524,0.21956750249713786,3.6296290082395584,-0.23484528995324006,2458.3648908746113,285,2685.2589272315327,104.50151453172343,2,2,0,491,37.182539682539684,32.73809523809524,15.079365079365079,15.0,23
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.4228290547563982,0.24276799847341843,3.1556816534762326,-0.230228749260552,2976.4631385371986,261,2901.6222108346633,132.04694506062833,2,2,260,370,32.38095238095238,33.01587301587301,18.055555555555554,16.547619047619047,23
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.38666977874879604,0.232868865319661,3.242321233787813,-0.23127049178938286,2321.7011653912205,264,3045.110211619763,138.9028665357448,3,2,260,450,31.19047619047619,24.6031746031746,35.833333333333336,8.373015873015872,23
Original strict SMA20,0.0,0.25,0.3333333333333333,0.2651722592652517,0.208791927459802,3.7080333091328535,-0.31228061801213586,958.2389287800739,313,2114.6583793298687,64.36814601717496,4,1,0,649,39.007936507936506,25.0,24.246031746031747,11.746031746031745,24
Lead 0.75 default X/Y,0.0075,0.25,0.3333333333333333,0.3032271640429627,0.2362903035365099,3.3806588482854343,-0.23847643930736115,1275.5152917957535,289,2577.490384095249,106.60047461819231,4,1,251,539,31.865079365079364,20.11904761904762,31.9047619047619,16.11111111111111,24
Lead 0.75 selected X/Y,0.0075,0.4,0.15,0.2869987937258043,0.22907224667478981,3.479203129696136,-0.23847643930736093,1130.2265292331663,306,2310.6112736755767,80.42307901250219,3,1,251,568,31.825396825396822,20.396825396825395,35.27777777777778,12.5,24
Original strict SMA20,0.0,0.25,0.3333333333333333,0.27864916297946807,0.18461509918849017,3.6961047409874173,-0.20460227694767966,1061.4140515084332,311,1830.4016580189316,35.816844945062975,4,0,0,470,35.0,32.77777777777778,32.22222222222222,0.0,25
