A,B,cagr,sharpe,max_dd,end,rebalances,tier2,tier3,cash_pct,pct2,pct3
0.07,0.11,0.3802584265950055,3.004546927944066,-0.3616141740915811,1561311.0542406705,813,7,8,31.164701205777128,8.334437524844308,35.497548694845634
0.07,0.12,0.3850829344097233,3.0170715892025184,-0.36169226838397517,1733565.265465617,799,8,7,30.52868689545515,14.191069299059228,33.19199681992845
0.07,0.13,0.392829019501181,3.045114274285126,-0.36179126278365187,2049200.573772083,793,8,6,30.290181529084403,17.410891745064262,31.933218497416192
0.07,0.14,0.3932142839266859,3.0562647577077287,-0.361741942143493,2066269.6564087407,789,8,5,30.14442824963562,20.670465085464425,30.820193454352722
0.07,0.15,0.3907070377766979,3.059324107650137,-0.35751019276456303,1957601.8787208823,791,9,6,30.157678547767325,21.21372730886445,29.958924075791703
0.07,0.16,0.3972982397680458,3.0963185748878406,-0.35293182571217635,2255870.1805745154,767,9,5,28.726646349542868,32.15847356565523,27.189611766264743
0.07,0.17,0.4002105663808917,3.0997940103078303,-0.35293182571217635,2401237.2657731157,768,9,5,28.89890022525507,34.21226977606996,26.036835828806147
0.07,0.18,0.39800643209028164,3.098843298938406,-0.3655953264439431,2290415.771018725,771,9,5,28.925400821518483,34.22552007420167,25.944083741884192
0.07,0.19,0.39929896180216873,3.0936429407422605,-0.3182807036930064,2354788.189420644,765,8,4,28.885649927123357,36.39856896780177,24.07579170531337
0.07,0.2,0.40063702353354835,3.096772416324364,-0.3182807036930064,2423269.4718298954,765,8,4,28.885649927123357,36.650324632304226,23.890287531469458
0.07,0.21,0.4016620706097407,3.1086180560359304,-0.3182807036930064,2477029.145441313,760,10,6,28.673645157016033,40.99642241950444,20.140453160196103
0.07,0.22,0.4016620706097407,3.1086180560359304,-0.3182807036930064,2477029.145441313,760,10,6,28.673645157016033,40.99642241950444,20.140453160196103
0.07,0.23,0.38849354096830857,3.108523230130326,-0.3182807036930064,1866274.189676139,759,9,5,28.792897840201405,40.01590035775805,19.676692725586324
0.07,0.24,0.3830454524250091,3.127290032098344,-0.3182807036930064,1658688.4163667208,760,8,4,28.779647542069696,42.06969656817278,18.08665694978137
0.07,0.25,0.38676951705381657,3.134359984890157,-0.27507173343600866,1798008.873240253,764,8,4,28.845899032728234,46.11103749834371,13.621306479395786
0.07,0.26,0.3848605015584641,3.1283111793891645,-0.27507173343600866,1725234.694046881,765,8,4,28.845899032728234,46.243540479660794,13.475553199946999
0.07,0.27,0.37555469981667233,3.1381692873307574,-0.27507173343600866,1409364.465315543,771,7,3,29.00490261030873,46.097787200212004,12.56128262885915
0.07,0.28,0.37555469981667233,3.1381692873307574,-0.27507173343600866,1409364.465315543,771,7,3,29.00490261030873,46.097787200212004,12.56128262885915
0.07,0.29,0.37555469981667233,3.1381692873307574,-0.27507173343600866,1409364.465315543,771,7,3,29.00490261030873,46.097787200212004,12.56128262885915
0.07,0.3,0.37400934593918733,3.1376804870729447,-0.27507173343600866,1362640.5544406422,773,8,3,29.00490261030873,46.05803630581688,12.455280243805486
0.07,0.31,0.372998391622563,3.1362027553774756,-0.27507173343600866,1332888.2801272927,773,8,3,29.00490261030873,46.084536902080295,12.336027560620114
0.07,0.32,0.3712920274973195,3.1455363960585414,-0.2750717334360085,1284088.9947487868,775,9,4,29.031403206572147,47.71432357228038,10.467735524049292
0.07,0.33,0.3556392768271581,3.1165307087714176,-0.2750717334360085,910028.5364378332,773,8,3,29.30965946733802,48.98635219292434,7.751424407049158
0.07,0.34,0.35380296477749984,3.1100866364532047,-0.2750717334360085,873772.9022040184,772,8,2,29.30965946733802,51.76891480058301,4.876109712468531
0.07,0.35,0.35380296477749984,3.1100866364532047,-0.2750717334360085,873772.9022040184,772,8,2,29.30965946733802,51.76891480058301,4.876109712468531
0.08,0.1,0.37984507366217346,2.98788524223848,-0.3616716701075207,1547347.757921453,809,6,9,31.376705975884455,5.207367165761229,36.4250695640652
0.08,0.11,0.3808104914519792,3.000934845095407,-0.3616716701075207,1580150.213660888,811,7,8,31.230952696435672,8.228435139790644,35.497548694845634
0.08,0.12,0.3849278476114639,3.011845819483747,-0.3617487943860588,1727752.8501895715,797,8,7,30.59493838611369,14.018815423347025,33.19199681992845
0.08,0.13,0.3926745701742824,3.0398861918643467,-0.36184657260911823,2042396.063596626,791,8,6,30.356433019742944,17.23863786935206,31.933218497416192
0.08,0.14,0.39305866736658013,3.051035876975123,-0.36179782368822,2059358.6070093408,787,8,5,30.210679740294154,20.49821120975222,30.820193454352722
0.08,0.15,0.39055234189916943,3.0540739386956406,-0.35756610649648407,1951081.250090459,789,9,6,30.223930038425866,21.041473433152248,29.958924075791703
0.08,0.16,0.3979945900730495,3.084888937483759,-0.3530531450817634,2289833.9362451443,768,10,5,29.071154100967274,30.50218629919173,27.189611766264743
0.08,0.17,0.39708049884321617,3.0835161368416593,-0.3530531450817634,2245350.4053875143,771,10,5,29.216907380416057,32.569232807738175,26.036835828806147
0.08,0.18,0.39488040509941946,3.0825636765345297,-0.36571427152286634,2141682.5437313775,774,10,5,29.243407976679475,32.58248310586988,25.944083741884192
0.08,0.19,0.3961703157498686,3.0773500962546225,-0.31840851983132024,2201887.6205368787,768,9,4,29.20365708228435,34.755531999469994,24.07579170531337
0.08,0.2,0.39735589517384273,3.086496957442745,-0.31840851983132024,2258663.669676221,768,9,4,29.124155293494102,35.36504571352855,23.890287531469458
0.08,0.21,0.4022099041725724,3.103593615793759,-0.31840851983132024,2506231.728665751,761,11,6,28.938651119650196,39.69789320259706,20.140453160196103
0.08,0.22,0.4022099041725724,3.103593615793759,-0.31840851983132024,2506231.728665751,761,11,6,28.938651119650196,39.69789320259706,20.140453160196103
0.08,0.23,0.38863012220937776,3.1033069288768482,-0.31840851983132024,1871788.1573927593,760,10,5,29.057903802835565,38.5981184576653,19.676692725586324
