strategy,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,cagr_delta_pp_vs_original,max_dd_delta_pp_vs_original,sharpe_delta_vs_original,keeps_original_cagr,improves_original_drawdown,improves_original_sharpe
Lead 0.75 X45.00% Y65.00%,0.0075,0.45,0.65,0.43814299264330736,0.3153323666139091,3.151811364082671,-0.3618624818933771,5353245.7856870415,771,5889346.516120339,573593.5261637421,5,3,751,1581,29.627666622499007,14.734331522459254,13.303299324234796,42.33470253080694,14.423581187008594,-1.81473587403031,-0.08065901852276625,True,False,False
Lead 0.75 X50.00% Y50.00%,0.0075,0.5,0.5,0.4294767398625432,0.31255364116602574,3.1474087600548586,-0.3618685094442792,4465662.068185191,777,4223808.930837258,415183.5612616194,5,3,751,1608,29.362660659864847,15.105339870147077,17.87465217967404,37.65734729031403,13.556955908932178,-1.8153386291205165,-0.0850616225505787,True,False,False
Lead 0.75 X55.00% Y55.00%,0.0075,0.55,0.55,0.4304889108342804,0.31432788360281116,3.1467015738626256,-0.3618685094442792,4561480.53742014,775,4271269.939063353,432764.9501800026,4,3,751,1645,29.190406784152646,14.363323174771434,17.993904862859413,38.45236517821651,13.658173006105901,-1.8153386291205165,-0.08576880874281168,True,False,False
Lead 0.75 X35.00% Y70.00%,0.0075,0.35,0.7,0.4343251154655243,0.3136335727030459,3.1452520218734197,-0.3609348253076645,4943005.497482723,777,5003286.090016932,542170.3343885086,5,3,751,1527,29.91917318139658,15.741354180469061,10.957996554922486,43.38147608321187,14.04179346923029,-1.721970215459051,-0.08721836073201761,True,False,False
Lead 0.75 X45.00% Y55.00%,0.0075,0.45,0.55,0.43625160214210656,0.3118467984190605,3.1451314534867096,-0.3618624818933771,5146059.400111078,775,4779655.471105497,487780.71688277414,6,3,751,1556,29.601166026235592,15.55585000662515,16.39061878892275,38.45236517821651,14.234442136888514,-1.81473587403031,-0.08733892911872765,True,False,False
Lead 0.75 X60.00% Y50.00%,0.0075,0.6,0.5,0.42320900145549745,0.3134191045574356,3.1450248439168234,-0.3618685094442792,3914232.1922378456,777,3744821.305722797,364963.5503695189,4,3,751,1666,29.110904995362397,14.336822578508016,18.894925135815555,37.65734729031403,12.930182068227602,-1.8153386291205165,-0.08744553868861393,True,False,False
Lead 0.75 X20.00% Y75.00%,0.0075,0.2,0.75,0.4254552927401689,0.31242016790459215,3.144587068176501,-0.3607947981933179,4103830.9796046806,792,4175069.1757085538,450919.2923438592,5,3,751,1517,30.38293361600636,18.28541142175699,6.30714191069299,45.02451305154366,13.154811196694748,-1.707967504024388,-0.08788331442893638,True,False,False
Lead 0.75 X10.00% Y80.00%,0.0075,0.1,0.8,0.42403669763658125,0.3120298179870902,3.143065566302193,-0.3603209262571144,3983087.41452604,806,3909540.754117263,436591.5299694824,5,3,751,1457,30.926195839406383,20.86921955744004,1.9610441234927785,46.243540479660794,13.012951686335983,-1.6605803104040417,-0.08940481630324415,True,False,False
Lead 0.75 X35.00% Y60.00%,0.0075,0.35,0.6,0.4283797977170649,0.3105639919389011,3.141912379974725,-0.3609348253076645,4364015.866472022,788,4556823.338042948,472899.2652828378,6,3,751,1517,29.879422287001457,16.417119385186165,13.92606333642507,39.777394991387304,13.447261694384348,-1.721970215459051,-0.09055800263071223,True,False,False
Lead 0.75 X40.00% Y65.00%,0.0075,0.4,0.65,0.4334062650522281,0.31434550877556583,3.1386489383716407,-0.3615812830636155,4848907.003409526,773,5341294.569277657,519564.2311692532,5,3,751,1555,29.73366900755267,15.3040943421227,12.627534119517689,42.33470253080694,13.94990842790067,-1.7866159910541468,-0.09382144423379657,True,False,False
Lead 0.75 X55.00% Y50.00%,0.0075,0.55,0.5,0.4221784222228804,0.31308372307021215,3.1370368629081113,-0.3618685094442792,3830106.3545178073,777,3661052.432210041,356494.4372739024,4,3,751,1642,29.216907380416057,15.131840466410495,17.993904862859413,37.65734729031403,12.827124144965897,-1.8153386291205165,-0.09543351969732594,True,False,False
Lead 0.75 X30.00% Y70.00%,0.0075,0.3,0.7,0.4329294430827395,0.3125035213383559,3.136612877343488,-0.36078043037910323,4800761.012121314,782,4851113.805560624,526131.5286713125,5,3,751,1499,30.19742944216245,17.10613488803498,9.3149595865907,43.38147608321187,13.902226230951808,-1.7065307226029225,-0.09585750526194925,True,False,False
Lead 0.75 X45.00% Y50.00%,0.0075,0.45,0.5,0.4279075782367845,0.3105919635494649,3.1354910077308427,-0.3618624818933771,4320950.44139995,777,4092868.5818649842,401755.3014463798,6,3,751,1553,29.627666622499007,16.32436729826421,16.39061878892275,37.65734729031403,13.400039746356306,-1.81473587403031,-0.09697937487459463,True,False,False
Lead 0.75 X40.00% Y55.00%,0.0075,0.4,0.55,0.431521537058567,0.31084766569407174,3.13192390570686,-0.3615812830636155,4661282.297267445,777,4335651.905085808,441834.42889861256,6,3,751,1530,29.707168411289253,16.12561282628859,15.714853584205645,38.45236517821651,13.761435628534556,-1.7866159910541468,-0.1005464768985771,True,False,False
