strategy,trigger_a,trigger_b,lead_pct_below_sma20,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,trading_costs_total,funding_costs_total,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,simulation
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.29158816461943515,0.2211353085481949,3.385696097752837,-0.18301727988316907,1169.728370716458,264,2646.110097086876,0.0,4,0,270,28.968253968253972,3.0555555555555554,67.97619047619048,0.0,146
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.3282635977432222,0.20568106519459448,3.5749111838223673,-0.19230550015445091,1532.6476490768405,322,2640.8785871153573,0.0,3,1,0,38.37301587301587,32.65873015873016,22.1031746031746,6.865079365079366,147
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.28193191819260077,0.22060387166714715,3.2838112068960603,-0.23949099117337014,1088.0071207022877,310,2763.2071831433927,0.0,3,1,262,33.17460317460317,24.801587301587304,38.41269841269842,3.6111111111111107,147
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.28784584644071587,0.2513253922284962,3.1772538392944054,-0.23949099117337075,1137.4260465333148,290,3138.268008275685,0.0,3,0,262,28.809523809523807,5.515873015873016,65.67460317460318,0.0,147
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.11878981267036859,0.2605674139355775,3.247454418710654,-0.5901726441576167,292.4847957537852,321,1683.6508651000313,0.0,1,1,0,43.80952380952381,20.912698412698415,10.436507936507937,24.841269841269842,148
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.08542428794505263,0.2984807156088154,2.953295444752759,-0.6431901717222537,218.37534559937686,331,1521.6238838322981,0.0,1,1,317,33.01587301587301,16.150793650793652,18.492063492063494,32.34126984126984,148
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.10548318924088851,0.3111900932719761,3.010427176860244,-0.6508689031697955,260.587521739703,318,1868.6850879098345,0.0,2,1,317,31.507936507936506,4.007936507936508,32.142857142857146,32.34126984126984,148
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.19770626453649465,0.28956690729896817,3.1981216292956014,-0.5233632190468006,564.6615175431733,306,1687.0000916324277,0.0,3,2,0,40.51587301587302,6.031746031746032,16.746031746031743,36.7063492063492,149
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.26540263709931877,0.28016461082073024,2.884583842111298,-0.34587413279542806,959.9242233657345,272,1712.17578044618,0.0,4,4,246,31.587301587301585,6.746031746031746,41.94444444444444,19.72222222222222,149
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2671103587719379,0.25499901888810317,3.072347736517945,-0.31307221389957096,972.4998804073579,265,1639.5476338183464,0.0,2,1,246,30.753968253968257,0.0,61.30952380952381,7.936507936507936,149
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.12497262472925286,0.2688126793617212,3.5452036444911394,-0.42420795226718305,308.46245504883547,299,1631.9931475291971,0.0,1,1,0,46.666666666666664,3.7301587301587302,5.277777777777778,44.32539682539682,150
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.19463660523540294,0.3045903747568616,2.9805056078269785,-0.4391850693752402,550.8485439342894,259,1969.431842618784,0.0,1,1,289,35.91269841269841,3.7301587301587302,6.190476190476191,54.166666666666664,150
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.2101509437929172,0.306813782036305,3.0466226376814207,-0.4424430549598183,623.8976337192918,261,2260.167454774204,0.0,1,2,289,35.1984126984127,0.0,12.142857142857142,52.65873015873016,150
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.22290962410603932,0.2884258369568781,3.55703785691506,-0.40555918918738654,690.3535310586802,298,4062.8620911466,0.0,2,2,0,43.65079365079365,5.396825396825397,2.976190476190476,47.976190476190474,151
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.24424776569897655,0.2990072057314462,3.1218575805196127,-0.34842174348733185,815.7821193952232,285,3012.254470936589,0.0,3,3,260,34.32539682539682,5.198412698412699,20.952380952380953,39.523809523809526,151
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.24253538187312262,0.2796832305800784,3.084385885507917,-0.31935594776532433,805.0111843376853,282,2557.913570495278,0.0,2,1,260,34.007936507936506,4.404761904761905,36.82539682539683,24.761904761904763,151
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2377010914245712,0.23595041413699908,3.267260860909029,-0.47688286503871147,775.2878752559243,286,3857.566036015301,0.0,3,2,0,39.76190476190476,31.150793650793652,9.325396825396826,19.761904761904763,152
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.2498948635300009,0.248656049157426,3.1061601089926465,-0.6853247509188202,852.2241209968968,266,5753.616079853937,0.0,3,2,270,32.698412698412696,24.801587301587304,18.73015873015873,23.76984126984127,152
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.265161025230257,0.2657845603018563,3.1762988983597524,-0.6857607150394307,958.1568157386737,266,7016.91662611735,0.0,3,1,270,30.317460317460316,10.714285714285714,40.43650793650794,18.53174603174603,152
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.25963183272625123,0.2630457115854785,3.1961722792009692,-0.5513060158987743,918.4992925989984,288,2160.3395122914467,0.0,1,2,0,38.05555555555556,29.92063492063492,5.238095238095238,26.785714285714285,153
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.3145845067686375,0.26399254182065257,2.9677225151203968,-0.4878925508489343,1386.928508063465,260,2067.746880458314,0.0,3,2,266,30.714285714285715,27.063492063492063,22.42063492063492,19.8015873015873,153
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.35888084385258434,0.27343584869792,3.150469207992898,-0.5393346401665658,1909.6709430340145,255,3265.7295971920908,0.0,5,2,266,28.214285714285715,7.261904761904763,49.047619047619044,15.476190476190476,153
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2622326244827826,0.23518393748941557,3.3817900321291297,-0.24058447910344968,936.966082314893,259,2596.808599763217,0.0,3,2,0,44.007936507936506,11.904761904761903,19.28571428571429,24.801587301587304,154
Lead 0.75 A10/B20 X40/Y15,0.1,0.2,0.0075,0.4,0.15,0.22360508555958147,0.2588979811582824,2.8709993200228,-0.43343357360883245,694.1518172902579,250,1994.4069660105704,0.0,3,3,261,35.11904761904761,9.642857142857144,35.03968253968254,20.1984126984127,154
Lead 0.75 A5/B25 X40/Y15,0.05,0.25,0.0075,0.4,0.15,0.22685783061697395,0.2503118076492887,2.995553300939853,-0.3812080651064351,712.1666807719388,261,1977.9280157125002,0.0,3,3,261,34.24603174603175,4.325396825396825,50.317460317460316,11.11111111111111,154
Original strict SMA20 A10/B20 X25/Y33,0.1,0.2,0.0,0.25,0.3333333333333333,0.2620425288298933,0.2319904055620152,3.3366662928977693,-0.29225236682774397,935.6051307891514,295,2206.973234704194,0.0,3,2,0,38.492063492063494,30.753968253968257,6.785714285714286,23.96825396825397,155
