simulation,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,worst_daily_return
277,0.28184961264421626,0.21159927483298252,3.4276224703608285,-0.4088508776665893,1087.3331450930018,273,33.69047619047619,38.492063492063494,5.317460317460317,22.5,1,1,-0.07426052512381669
278,0.3177811489732807,0.24651943495770823,3.3724575464062716,-0.3025257522105327,1419.8213003034834,281,40.07936507936508,28.61111111111111,2.619047619047619,28.69047619047619,1,2,-0.15810903942915153
279,0.3412101707150992,0.2855378006024368,3.5339553726022794,-0.28556372672178315,1683.0518391410283,295,40.91269841269841,20.03968253968254,1.2301587301587302,37.817460317460316,1,2,-0.08074584716804374
280,0.5025992374021975,0.31628176551648773,3.635246524373227,-0.3054593003414042,5038.89299106668,283,39.523809523809526,11.547619047619047,10.952380952380953,37.976190476190474,3,3,-0.10186107241277723
281,0.2812666172503413,0.23774988452115556,3.49691941782345,-0.25374233961244275,1082.5698734060295,321,38.17460317460317,21.626984126984127,26.46825396825397,13.730158730158731,3,1,-0.06683860254584877
282,0.35239575881689267,0.27633050073329435,3.245480468948682,-0.35749490619549246,1823.5094107322843,249,40.1984126984127,19.126984126984127,3.6111111111111107,37.06349206349206,2,3,-0.10451325381922366
283,0.17748241257544284,0.22165734828764708,3.632081078696372,-0.3071759281634012,479.08326243817834,322,43.53174603174603,12.420634920634921,28.134920634920636,15.912698412698411,4,1,-0.08651754706118298
284,0.3725353945587655,0.30867101928302737,3.469220020908021,-0.5769845344706316,2103.1224222742394,254,43.69047619047619,0.07936507936507936,3.571428571428571,52.65873015873016,3,2,-0.09008440147406616
285,0.3001096414421034,0.21289734925331066,3.4745693803541027,-0.32181115173640557,1246.370932599275,278,38.88888888888889,32.65873015873016,14.007936507936508,14.444444444444443,1,2,-0.07251497267400375
286,0.2720798292156916,0.251045537618293,3.299922020759576,-0.23617978506746698,1009.9396036527506,302,41.58730158730159,30.714285714285715,6.190476190476191,21.50793650793651,2,1,-0.09942559596249864
287,0.11333269382979694,0.2879046071252608,3.2860527320734785,-0.4881676711235679,279.0031885663139,346,47.579365079365076,12.738095238095237,0.11904761904761905,39.56349206349206,1,1,-0.10583369511396025
288,0.3373126102877695,0.27310073539618634,3.514822021793559,-0.4040237675757408,1636.4385674989633,282,40.595238095238095,11.190476190476192,25.793650793650798,22.42063492063492,4,1,-0.09620415519423087
289,0.24100922135930736,0.3079507644735589,3.5475756769998084,-0.6216526977754553,795.5192213183052,300,42.182539682539684,6.15079365079365,0.0,51.66666666666667,0,1,-0.09008440147406582
290,0.1778166100797205,0.2607630814209588,3.5620021322994004,-0.3869464646878233,480.39716118027917,302,45.357142857142854,7.658730158730159,7.5,39.48412698412698,2,1,-0.09620415519423187
291,0.2567626157327543,0.21161996605059252,3.493566984512796,-0.27733727234422956,898.5056310564619,296,36.07142857142857,33.57142857142857,18.53174603174603,11.825396825396824,2,1,-0.10543308670169749
292,0.34079125288556655,0.1938940966262661,3.9870573539173275,-0.21633371196188256,1677.985296257317,293,38.57142857142858,23.49206349206349,31.11111111111111,6.825396825396825,3,1,-0.07121896845364943
293,0.4801252991361429,0.30815284129470866,3.1952449813074804,-0.24514447444168264,4356.85297761472,278,40.039682539682545,23.055555555555557,8.412698412698413,28.49206349206349,4,4,-0.10539306332320157
294,0.24801460602657865,0.1962554517739948,3.367064141949111,-0.17469812936261225,839.9315622641545,328,38.80952380952381,40.63492063492063,15.158730158730158,5.396825396825397,3,1,-0.0920797839073836
295,0.192752777996976,0.2335617375878881,3.59464102401066,-0.38905286837716774,542.5223615712515,292,38.65079365079365,28.57142857142857,0.873015873015873,31.9047619047619,2,3,-0.060614663786032245
296,0.2925273100027417,0.3087003468047212,3.2809984416562727,-0.25359401636433987,1177.9627145397521,330,40.23809523809524,13.214285714285715,14.841269841269842,31.706349206349206,3,1,-0.10420345304201437
