strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.36596990964748044,0.28903331885535627,3.144784360750712,-0.2954897212982547,1.2385199324009177,2008.0164894122274,266,2900.4859671188233,0.0,27.6984126984127,3.6111111111111107,44.404761904761905,24.285714285714285,3,1,314,33
Guarded A5/B25 SMA20 Lead,0.44374190269632696,0.24417646904429738,3.5291684978488513,-0.2420467905288102,1.8332897607395027,3426.54812030233,263,5910.087047971032,0.0,28.849206349206348,7.261904761904763,62.182539682539684,1.7063492063492063,6,1,249,34
Guarded A5/B25 SMA20 Lead,0.2641410624441771,0.23176839022349285,3.053813398823804,-0.25228495621169433,1.0469948997772751,950.7278212798425,243,2198.4926246937944,0.0,28.095238095238095,1.7063492063492063,70.1984126984127,0.0,3,0,299,35
Guarded A5/B25 SMA20 Lead,0.22909126817690373,0.21498448281338892,3.224008198765845,-0.34706819434422304,0.6600756621037146,724.7777612325787,270,1502.1935688060814,0.0,27.26190476190476,10.158730158730158,61.111111111111114,1.4682539682539681,3,1,280,36
Guarded A5/B25 SMA20 Lead,0.33302083826113904,0.24351108266325075,3.330894185428272,-0.24671524782088283,1.349818631813607,1586.4522452302597,297,2961.314334044173,0.0,30.833333333333336,11.30952380952381,57.85714285714286,0.0,2,0,285,37
Guarded A5/B25 SMA20 Lead,0.42063065350910467,0.25482756256957384,3.2818293344050598,-0.4676530476688294,0.8994502561372724,2932.37488538134,261,2367.255867644194,0.0,26.46825396825397,9.007936507936508,64.52380952380953,0.0,5,0,241,38
Guarded A5/B25 SMA20 Lead,0.49604387702773245,0.2636704184220582,3.35227725226408,-0.3543001218606632,1.400066910569151,4830.695264800351,276,6485.373987320442,0.0,29.04761904761905,21.626984126984127,49.32539682539683,0.0,4,0,240,39
Guarded A5/B25 SMA20 Lead,0.40826295663713275,0.2685410799912482,3.3823671677315956,-0.3898454458083749,1.047243108844244,2695.0748036923146,261,3972.249052386152,0.0,29.563492063492063,8.214285714285714,35.95238095238095,26.269841269841272,4,2,266,40
Guarded A5/B25 SMA20 Lead,0.30150539539846233,0.22589473196463275,3.293616143203493,-0.27640321461835266,1.0908172533911005,1259.3445968826932,250,3337.7856527736653,0.0,26.706349206349206,6.547619047619048,66.74603174603175,0.0,3,0,267,41
Guarded A5/B25 SMA20 Lead,0.233966376291191,0.27242573802360914,3.2452249207587287,-0.29549697372310274,0.791772495478856,753.0029141839956,306,2780.9869139428497,0.0,34.56349206349206,9.96031746031746,34.72222222222222,20.753968253968257,3,2,295,42
Guarded A5/B25 SMA20 Lead,0.38746442747962884,0.21744912860784502,3.4695045063725245,-0.2686967655283983,1.442013738861617,2334.573404864357,249,4283.443843358602,0.0,26.706349206349206,12.896825396825399,60.39682539682539,0.0,4,0,256,43
Guarded A5/B25 SMA20 Lead,0.4377503665501381,0.2570037516527611,3.3973090384212763,-0.21152758345905356,2.069471788935156,3291.747750846983,253,6268.002592107562,0.0,30.555555555555557,3.2539682539682544,63.57142857142857,2.619047619047619,5,1,221,44
Guarded A5/B25 SMA20 Lead,0.38003346844731944,0.2423559309642021,3.0980054326237054,-0.38000541259820564,1.0000738301302656,2216.6609951156306,266,2170.099422537526,0.0,28.095238095238095,22.26190476190476,49.642857142857146,0.0,4,0,237,45
Guarded A5/B25 SMA20 Lead,0.40194228238266017,0.21942388947593525,3.513802911668955,-0.2432725281412771,1.6522304653702529,2580.5755127475927,257,2726.370742024542,0.0,26.190476190476193,13.80952380952381,54.36507936507936,5.634920634920635,4,1,244,46
Guarded A5/B25 SMA20 Lead,0.3708810391659898,0.2848229694982221,3.1140531833154608,-0.29050872605693634,1.2766605815940324,2078.784946588138,262,2919.888950187498,0.0,30.714285714285715,5.277777777777778,38.76984126984127,25.238095238095237,5,3,280,47
Guarded A5/B25 SMA20 Lead,0.4943716028429106,0.32427917033727943,3.3336152475556085,-0.3468066219634342,1.4254964338455884,4778.834037009974,246,7918.0006431350475,0.0,28.253968253968253,0.11904761904761905,20.674603174603174,50.95238095238095,5,6,240,48
Guarded A5/B25 SMA20 Lead,0.20608727996099452,0.2110319407783066,3.1155661739093823,-0.21910634755669625,0.9405810569119505,603.9697736345165,290,1287.0460637360102,0.0,29.20634920634921,15.238095238095239,55.55555555555556,0.0,2,0,320,49
Guarded A5/B25 SMA20 Lead,0.31421081147789764,0.21530928060080115,3.568760756618188,-0.3041502529960341,1.0330775936655057,1383.128205799819,274,3242.8645843390377,0.0,32.10317460317461,9.603174603174605,52.46031746031746,5.833333333333333,4,1,258,50
Guarded A5/B25 SMA20 Lead,0.2318375221224933,0.2490324973460949,3.361933270624907,-0.347110900681237,0.6679061984728537,740.558643223176,310,1364.9608245395473,0.0,31.626984126984127,3.8492063492063493,51.42857142857142,13.095238095238097,4,2,280,51
Guarded A5/B25 SMA20 Lead,0.40980732914523776,0.2508652068822509,3.231176914094715,-0.2405067622898255,1.7039326680195155,2723.734328554134,255,2948.6355253722045,0.0,31.26984126984127,6.7063492063492065,62.023809523809526,0.0,4,0,271,52
Guarded A5/B25 SMA20 Lead,0.26285415002434975,0.24562840893272528,3.126826530091518,-0.31229028200737396,0.841698141660851,941.428163947343,283,2104.8169646003166,0.0,32.61904761904762,13.253968253968255,44.404761904761905,9.722222222222223,4,1,278,53
Guarded A5/B25 SMA20 Lead,0.3999669063165814,0.2522447714914669,3.1255816128040257,-0.22121156974250178,1.8080740839285994,2545.6968619543163,226,3568.6099805389044,0.0,30.07936507936508,7.5,49.32539682539683,13.095238095238097,5,3,237,54
Guarded A5/B25 SMA20 Lead,0.37117985965876454,0.24837619441454667,3.359170015456085,-0.32643740416681716,1.1370628945115706,2083.1621686299904,269,5160.145132929588,0.0,34.24603174603175,10.198412698412698,47.85714285714286,7.698412698412699,4,2,214,55
Guarded A5/B25 SMA20 Lead,0.26138874313005855,0.26834444607075386,2.988112318691173,-0.37158509981657173,0.7034424772658802,930.9380000439847,271,1722.5553073855601,0.0,30.833333333333336,1.5476190476190477,52.85714285714286,14.761904761904763,4,2,277,56
Guarded A5/B25 SMA20 Lead,0.39636090647065125,0.2312846613441203,3.4575721242402153,-0.19202023012577524,2.0641622302557954,2483.1148227263934,285,3971.297013741242,0.0,28.61111111111111,20.595238095238095,50.79365079365079,0.0,4,0,273,57
Guarded A5/B25 SMA20 Lead,0.24484842608797952,0.2293906517568547,3.2193194736650432,-0.22838747481113644,1.0720746673628023,819.5907796079503,282,1352.3522393192432,0.0,27.6984126984127,9.603174603174605,58.452380952380956,4.246031746031746,2,1,284,58
Guarded A5/B25 SMA20 Lead,0.33459781678180445,0.3238171911092664,2.9286621949796117,-0.46000491807802196,0.7273787814700123,1604.6579741686528,278,7218.356335703918,0.0,30.912698412698415,5.714285714285714,45.55555555555556,17.817460317460316,6,2,253,59
Guarded A5/B25 SMA20 Lead,0.30338271543080486,0.27820209811386937,2.9705034583232925,-0.376281185028993,0.8062659721012327,1276.9853433356384,279,5078.083224114529,0.0,30.436507936507933,9.484126984126984,55.3968253968254,4.682539682539683,3,1,277,60
Guarded A5/B25 SMA20 Lead,0.3612752854449126,0.2586846133172606,3.088979529794309,-0.21202841776334086,1.703900303817558,1942.3946618370717,247,2410.4404906080754,0.0,29.00793650793651,7.301587301587302,54.08730158730158,9.603174603174605,4,1,268,61
Guarded A5/B25 SMA20 Lead,0.2887997145854746,0.20038956144466522,3.3730950214198545,-0.2587114955645989,1.1163002786374556,1145.582630180479,251,1797.6312377085762,0.0,25.07936507936508,16.19047619047619,58.730158730158735,0.0,4,0,289,62
Guarded A5/B25 SMA20 Lead,0.3079433212435758,0.3261629163884322,2.8945834557833616,-0.3291851358565801,0.9354715255968941,1320.766508435596,249,4700.542957259384,0.0,32.5,11.071428571428571,16.706349206349206,39.72222222222222,2,1,231,63
