name,fast,slow,signal,hist_pct,confirm_days,req_sma200,exit_sma200,final,full_return,full_max_dd,crash_return,crash_max_dd,y2008_return,bh_crash_return,crash_vs_bh,avg_leverage,rebalances,trading_costs
MACD 8/26/9 3x,8,26,9,0.0,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.0,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.0,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.05,1,False,False,57253.517580244574,571.5351758024458,-0.6656563929041219,-0.5085813644562832,-0.6656563929041219,-0.4750572740873754,-0.37595493994012186,-0.13262642451616136,1.6822999470058293,422,55675.115608772365
MACD 8/26/9 3x,8,26,9,0.05,1,True,False,14825.493744355634,147.25493744355634,-0.5239617294740686,-0.4150470400682601,-0.5097456343296397,-0.3758465002718233,-0.37595493994012186,-0.03909210012813824,1.4133545310015898,276,15388.734502181675
MACD 8/26/9 3x,8,26,9,0.05,1,True,True,11428.745677321218,113.28745677321218,-0.5039390494273744,-0.3904432914113718,-0.48912501007926673,-0.37584650027182387,-0.37595493994012186,-0.014488351471249938,1.392156862745098,276,11734.755262593473
MACD 8/26/9 3x,8,26,9,0.05,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.05,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.05,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.1,1,False,False,69404.70793043856,693.0470793043855,-0.6777768516664515,-0.5263960293122489,-0.6777768516664515,-0.49408723765471885,-0.37595493994012186,-0.15044108937212708,1.4687334393216747,266,30360.177464819593
MACD 8/26/9 3x,8,26,9,0.1,1,True,False,21968.80621611589,218.68806216115888,-0.5097456343296405,-0.4150470400682612,-0.5097456343296405,-0.3758465002718242,-0.37595493994012186,-0.03909210012813935,1.2580816110227875,156,8883.40168591717
MACD 8/26/9 3x,8,26,9,0.1,1,True,True,20278.343577714975,201.78343577714975,-0.48912501007926656,-0.3904432914113716,-0.48912501007926656,-0.3758465002718241,-0.37595493994012186,-0.014488351471249716,1.246422893481717,156,8064.959613075241
MACD 8/26/9 3x,8,26,9,0.1,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.1,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.1,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.2,1,False,False,104562.12103266743,1044.6212103266744,-0.6533549770773578,-0.5089404054839366,-0.6533549770773578,-0.5359943478134732,-0.37595493994012186,-0.13298546554381474,1.2270800211976682,102,17917.494273916927
MACD 8/26/9 3x,8,26,9,0.2,1,True,False,32952.36904661029,328.52369046610295,-0.48576313977023505,-0.37595493994012075,-0.48576313977023505,-0.37584650027182376,-0.37595493994012186,1.1102230246251565e-15,1.0850556438791732,40,4322.992421658939
MACD 8/26/9 3x,8,26,9,0.2,1,True,True,34280.690577849266,341.80690577849265,-0.48576313977023505,-0.37595493994012075,-0.48576313977023505,-0.37584650027182376,-0.37595493994012186,1.1102230246251565e-15,1.084790673025967,40,4422.725622312309
MACD 8/26/9 3x,8,26,9,0.2,3,False,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.2,3,True,False,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
MACD 8/26/9 3x,8,26,9,0.2,3,True,True,19670.60829654066,195.7060829654066,-0.4857631397702356,-0.37595493994012186,-0.4857631397702356,-0.3758465002718241,-0.37595493994012186,0.0,1.0,0,0.0
