strategy,cagr,ann_volatility,sharpe,max_drawdown,end_$,rebalances,pct_days_cash,simulation
SMA20 1x/cash,3.664490362310109,0.47834909531726155,4.014931163748052,-0.17065389596280053,281977020.28704506,323,45.317460317460316,89
SMA20 1x/cash,2.906692250537889,0.46702848908152045,3.621515097223689,-0.20941501475699062,50949606.12954298,268,46.98412698412698,90
SMA20 1x/cash,4.118676186504627,0.5026992754749504,4.033879793188536,-0.2848692770279607,691292521.0584561,324,44.166666666666664,91
SMA20 1x/cash,4.776138012192797,0.55840442243315,3.8106302345431002,-0.20860389610389612,2218918928.7794466,282,44.682539682539684,92
SMA20 1x/cash,4.5628871868196645,0.5598392489474784,3.7332442012013938,-0.3394478141899584,1543374459.371215,279,43.57142857142857,93
SMA20 1x/cash,3.3693544359954117,0.5068629870692369,3.6551774919328053,-0.2581957809262247,150056103.37094095,303,50.27777777777778,94
SMA20 1x/cash,3.4057674748594877,0.5437419420822998,3.4886260913827187,-0.339442900309523,162569271.919245,320,48.80952380952381,95
SMA20 1x/cash,4.1799948614529026,0.5012149860982315,3.945887658930939,-0.20143215986345778,775484776.5232604,267,45.198412698412696,96
SMA20 1x/cash,3.8939619341214495,0.541805828453719,3.687748165276144,-0.33944781418995845,448226080.4975765,320,51.269841269841265,97
SMA20 1x/cash,3.5963087019905196,0.5846535157433081,3.317761921868416,-0.3459606936057315,244622249.72340015,303,52.22222222222223,98
SMA20 1x/cash,3.2543909054223654,0.4956653039259979,3.597476302249725,-0.2848692770279608,116010442.889438,265,52.10317460317461,99
SMA20 1x/cash,4.108867373760528,0.5698765756891725,3.569383012088127,-0.2745952953145639,678613303.722194,300,50.198412698412696,100
SMA20 1x/cash,3.3254802961319907,0.4639279245531498,3.8996933776041693,-0.17956913948855496,136130132.69328004,290,46.34920634920635,101
SMA20 1x/cash,3.5147042139865388,0.48452533695628347,3.909592622855134,-0.24496735347790302,205784592.53062037,323,50.357142857142854,102
SMA20 1x/cash,4.149585027902775,0.5642546489877497,3.655022561322274,-0.3394478141899585,732647281.2831321,324,47.14285714285714,103
SMA20 1x/cash,3.9542766228137047,0.5550826177039736,3.601577446082573,-0.2094150147569905,504471694.8096503,306,49.96031746031746,104
SMA20 1x/cash,4.073918182657512,0.5304729245199948,3.8595010326537356,-0.27459529531456384,635113490.1014192,342,44.08730158730159,105
SMA20 1x/cash,4.044214273869028,0.5284477669569302,3.7298820490719145,-0.20941501475699031,600125562.7836926,271,51.547619047619044,106
SMA20 1x/cash,3.6975661087390455,0.5279694545996324,3.633842062072334,-0.18096917846656554,301876643.70030344,291,48.05555555555556,107
SMA20 1x/cash,3.3809219160539756,0.493947650438579,3.7787786447333844,-0.19397063930170264,153934233.30770227,322,49.36507936507937,108
