strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_cash,family,sma_window,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,max_leverage,exit_buffer,entry_buffer,confirm_days,fast,slow,min_hold_days
SMA20 1x/cash out-0% 2d confirm,0.3917732981183297,0.38334819185594854,1.370695514938622,-0.43494403214110416,0.9007441628518102,8509.977032543427,214,3385.8517064460934,35.70185614849188,confirm,,,,,,,,,,,0.0,,2.0,,,
SMA20 1x/cash out-1% 2d confirm,0.41065206383212893,0.38891846863027,1.3362240653636575,-0.445397174420484,0.9219907251689177,10203.85321513326,186,3088.233928237982,33.75870069605568,confirm,,,,,,,,,,,0.01,,2.0,,,
SMA20 1x/cash out-2% 2d confirm,0.4142140037067603,0.39634390892807725,1.2796285319540537,-0.492333011839853,0.8413289252305848,10556.504233909318,166,2466.579769335722,31.438515081206496,confirm,,,,,,,,,,,0.02,,2.0,,,
SMA20 1x/cash out-0% 3d confirm,0.3211343642514981,0.38849816942055065,1.1235025771197806,-0.5038956625377152,0.6373032913881493,4218.417818410764,170,1423.9671363205102,35.29582366589327,confirm,,,,,,,,,,,0.0,,3.0,,,
SMA20 1x/cash out-1% 3d confirm,0.35232945424468975,0.3947153124515292,1.1487405526499224,-0.5583914177403454,0.6309721873421138,5777.035806680503,150,1701.589611474525,32.77262180974478,confirm,,,,,,,,,,,0.01,,3.0,,,
SMA20 1x/cash out-2% 3d confirm,0.3582725907846258,0.4021603450115062,1.1244278793249283,-0.6254372059025639,0.5728354300054875,6128.629563538073,134,1722.4688859973849,29.553364269141532,confirm,,,,,,,,,,,0.02,,3.0,,,
SMA20 1x/cash out-0% 5d confirm,0.30243052927123215,0.39188378499314286,0.9936984807797624,-0.518039232542412,0.5837985045784579,3481.1226206416095,124,754.5405602642056,34.077726218097446,confirm,,,,,,,,,,,0.0,,5.0,,,
SMA20 1x/cash out-1% 5d confirm,0.28728640091532176,0.4036050013316587,0.9217267514137854,-0.5439297593100773,0.5281681981874222,2973.616336016393,114,617.9492384870088,30.945475638051043,confirm,,,,,,,,,,,0.01,,5.0,,,
SMA20 1x/cash out-2% 5d confirm,0.27893943038991487,0.4143423443698077,0.8706488989334611,-0.6157789398271992,0.45298631107486603,2724.0875415362443,100,509.286406363988,27.03016241299304,confirm,,,,,,,,,,,0.02,,5.0,,,
Dual SMA enter>20d exit<50d,1.0812892293567113,0.38878694070431874,2.7663634611738246,-0.30628998291143317,3.5302794400213116,1925380.4915773526,398,569884.6798044969,31.728538283062644,dual_sma,,,,,,,,,,,,,,20.0,50.0,
