strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,simulation
Guarded A5/B25 SMA20 Lead,0.7144184055698597,0.306406409536306,3.5623619324644573,-0.24071419783460674,2.967911373722676,17991.975145523476,282,15615.795864819213,0.0,30.436507936507933,7.896825396825396,55.158730158730165,6.507936507936509,7,3,211,20
Guarded A5/B25 SMA20 Lead,0.9052803668465121,0.3395096994904531,3.413544831020962,-0.30144864746012867,3.003099779926031,49830.7236060705,256,23880.511255300906,0.0,30.119047619047617,3.1746031746031744,65.5952380952381,1.1111111111111112,8,1,206,21
Guarded A5/B25 SMA20 Lead,1.124340656737719,0.4326380200337637,3.27350914590225,-0.27281522190718066,4.121253384901855,142446.14840157307,299,157601.35710076924,0.0,32.46031746031746,7.380952380952381,47.73809523809524,12.420634920634921,8,3,198,22
Guarded A5/B25 SMA20 Lead,0.7572855646810708,0.4856993222051206,2.9443891869549623,-0.4883358126530832,1.5507475492465084,22834.422399816493,327,30003.80495287229,0.0,38.80952380952381,6.309523809523809,17.61904761904762,37.26190476190476,6,5,212,23
Guarded A5/B25 SMA20 Lead,0.8428029947022253,0.33427398523854845,3.582482115290452,-0.3541509528253369,2.3797846313232593,36120.352405665704,286,58299.33035874793,0.0,32.65873015873016,12.738095238095237,50.15873015873016,4.444444444444445,7,2,193,24
Guarded A5/B25 SMA20 Lead,0.6993125767971746,0.447903302848656,2.9092633232283505,-0.4244116833598288,1.6477222569866832,16519.04911825991,297,30610.135182205096,0.0,42.38095238095238,5.555555555555555,25.555555555555554,26.50793650793651,4,3,159,25
Guarded A5/B25 SMA20 Lead,0.7874868694591433,0.4071076515037834,3.0654243349962975,-0.3403997316057254,2.313418009304617,26916.08397177712,290,35115.002849089455,0.0,33.49206349206349,5.158730158730158,47.34126984126984,14.007936507936508,8,3,195,26
Guarded A5/B25 SMA20 Lead,0.8132220675232682,0.3503552243694287,3.167138194513944,-0.20731784280175397,3.922585999030027,30897.69774508462,252,24746.825253354902,0.0,27.500000000000004,10.714285714285714,55.00000000000001,6.785714285714286,8,2,150,27
Guarded A5/B25 SMA20 Lead,0.8636347611385919,0.4273908335954661,3.1192209648847307,-0.4044721538100793,2.1352143849786835,40259.34996012772,295,51838.74181776347,0.0,35.35714285714286,9.920634920634921,36.904761904761905,17.817460317460316,5,2,220,28
Guarded A5/B25 SMA20 Lead,0.9352910396752712,0.41255786577619386,3.1624336461302813,-0.28567349684043747,3.273986036575443,57943.11162356972,274,35126.60178945725,0.0,29.92063492063492,12.182539682539682,32.261904761904766,25.634920634920633,6,3,187,29
Guarded A5/B25 SMA20 Lead,0.5000765500772135,0.36891925282470245,3.0889419530703313,-0.4239797733732724,1.1794820920311815,4957.839349949405,276,9887.126510094786,0.0,36.86507936507937,0.7936507936507936,30.07936507936508,32.261904761904766,4,2,229,30
Guarded A5/B25 SMA20 Lead,0.752671337383279,0.3376751905254275,3.4858818342643714,-0.24670057931554545,3.0509508306446467,22262.301205865155,298,19084.609258700988,0.0,33.730158730158735,5.198412698412699,61.07142857142858,0.0,3,0,215,31
Guarded A5/B25 SMA20 Lead,0.8009717164130672,0.4396185072337207,2.9869524716204436,-0.40675588093552323,1.9691705859811108,28940.95122496334,257,24007.50771502374,0.0,35.43650793650794,7.817460317460317,18.333333333333332,38.41269841269842,4,3,200,32
Guarded A5/B25 SMA20 Lead,0.9545306905096118,0.4057130661015676,3.1232518742945157,-0.2965020730890644,3.219305283652726,63747.65215954612,260,65197.86264558012,0.0,31.507936507936506,5.158730158730158,50.198412698412696,13.134920634920636,5,1,208,33
Guarded A5/B25 SMA20 Lead,0.8507863727600291,0.35173219731506083,3.506796363759876,-0.3052153856035323,2.787495037570553,37659.14600605198,297,46384.363372439504,0.0,31.746031746031743,9.682539682539684,46.19047619047619,12.380952380952381,9,3,183,34
Guarded A5/B25 SMA20 Lead,0.5129595545063892,0.34930099871809916,3.1613906802766376,-0.34901889378829376,1.4697185843971468,5384.371058386319,314,10437.791998363478,0.0,33.214285714285715,4.603174603174604,55.67460317460318,6.507936507936509,5,2,224,35
Guarded A5/B25 SMA20 Lead,0.7579269036670315,0.35476158689045173,3.3752723078300297,-0.27151100724612576,2.7915144632790816,22914.976918992736,295,30066.6850850713,0.0,30.476190476190478,6.666666666666667,55.43650793650794,7.420634920634921,7,2,210,36
Guarded A5/B25 SMA20 Lead,0.7097005423210281,0.39887688933477,2.874657899907595,-0.22538732051835872,3.148804203753867,17519.78997842627,282,21250.42310220118,0.0,32.698412698412696,4.444444444444445,57.85714285714286,5.0,6,2,202,37
Guarded A5/B25 SMA20 Lead,0.8725770844871816,0.36139289759239385,3.2215527323071633,-0.25642820350725837,3.402812454139752,42162.862044569614,258,22663.08495592442,0.0,30.238095238095237,11.150793650793652,50.595238095238095,8.015873015873016,7,2,183,38
Guarded A5/B25 SMA20 Lead,1.3039178644125067,0.35487066813145446,3.868054905112694,-0.22139353691532107,5.889593176837999,311728.5635442679,279,200634.383645093,0.0,28.92857142857143,13.84920634920635,55.75396825396825,1.4682539682539681,9,1,163,39
Guarded A5/B25 SMA20 Lead,0.9459107485612159,0.3555317030328512,3.4767797435056798,-0.2614400151914955,3.618079458373539,61085.55162637607,253,55241.12202995794,0.0,31.38888888888889,7.222222222222221,41.11111111111111,20.27777777777778,7,4,197,40
Guarded A5/B25 SMA20 Lead,0.6429138796333542,0.3136453659238036,3.4318097624352077,-0.29130393464158133,2.2070209261827918,11926.615950184121,301,17539.58058129867,0.0,31.865079365079364,11.230158730158731,56.42857142857143,0.4761904761904762,6,1,214,41
Guarded A5/B25 SMA20 Lead,0.9282704372999586,0.41499405863922295,3.4096933972599657,-0.23179260013575667,4.004745780306566,55946.03944655595,291,71124.52421044864,0.0,35.51587301587302,4.444444444444445,29.444444444444446,30.5952380952381,7,4,210,42
Guarded A5/B25 SMA20 Lead,0.8928905777179135,0.36656957098959453,3.171240576927374,-0.21023938343206305,4.2470186277274875,46789.93387953606,272,48144.6055145167,0.0,33.05555555555556,12.5,50.43650793650794,4.007936507936508,9,2,186,43
Guarded A5/B25 SMA20 Lead,1.1425696494818842,0.44853475506225504,3.2187442520722698,-0.28385966009362185,4.025121600952544,154690.35671684425,260,152414.76276101108,0.0,32.46031746031746,4.166666666666666,40.992063492063494,22.380952380952383,8,4,189,44
Guarded A5/B25 SMA20 Lead,1.0453074368925095,0.37321661654159816,3.2508283080797074,-0.22947850488114654,4.555143138281749,98796.784250684,243,79499.65987672046,0.0,28.61111111111111,11.507936507936508,53.57142857142857,6.309523809523809,9,3,169,45
Guarded A5/B25 SMA20 Lead,1.0998386457207587,0.3221769155277181,3.720425568967992,-0.18382812137386226,5.982972776422771,127358.24668072909,231,67631.52930563348,0.0,27.142857142857142,9.444444444444445,60.11904761904761,3.293650793650794,7,1,165,46
