start_date,peak_date,trough_date,recovery_date,depth,calendar_days_to_recovery,trading_days_to_recovery
2017-01-26,2017-01-25,2017-01-31,2017-02-09,-0.008484273204814374,14.0,10
2017-02-16,2017-02-15,2017-02-16,2017-02-17,-0.0008641180363413437,1.0,1
2017-02-22,2017-02-21,2017-02-22,2017-02-24,-0.001082200145408052,2.0,2
2017-02-28,2017-02-27,2017-02-28,2017-03-01,-0.0025783763780462543,1.0,1
2017-03-02,2017-03-01,2017-04-13,2017-05-05,-0.02796791718481184,64.0,45
2017-05-09,2017-05-08,2017-05-09,2017-05-10,-0.0010252486299153762,1.0,1
2017-05-11,2017-05-10,2017-05-12,2017-05-15,-0.003638052906108191,4.0,2
2017-05-16,2017-05-15,2017-05-17,2017-05-24,-0.018852624868354928,8.0,6
2017-05-30,2017-05-26,2017-05-31,2017-06-01,-0.0016640392982495422,2.0,2
2017-06-05,2017-06-02,2017-06-06,2017-06-13,-0.003993321209064926,8.0,6
2017-06-14,2017-06-13,2017-06-15,2017-06-19,-0.0032331986817497604,5.0,3
2017-06-20,2017-06-19,2017-07-06,2017-07-14,-0.01781564061913521,24.0,17
2017-07-17,2017-07-14,2017-07-17,2017-07-18,-5.291283677333336e-05,1.0,1
2017-07-20,2017-07-19,2017-07-24,2017-07-25,-0.0015846545202474749,5.0,3
2017-07-27,2017-07-26,2017-07-31,2017-08-07,-0.003038961131093032,11.0,7
2017-08-08,2017-08-07,2017-08-18,2017-09-11,-0.022314338384895493,34.0,23
2017-09-14,2017-09-13,2017-09-14,2017-09-15,-0.0011007176162897148,1.0,1
2017-09-21,2017-09-20,2017-09-25,2017-09-28,-0.004616814248272094,7.0,5
2017-10-06,2017-10-05,2017-10-09,2017-10-11,-0.002876131020706496,5.0,3
2017-10-12,2017-10-11,2017-10-12,2017-10-16,-0.0016867529508860502,4.0,2
2017-10-23,2017-10-20,2017-10-25,2017-10-27,-0.007013043156751109,4.0,4
2017-10-30,2017-10-27,2017-10-30,2017-11-03,-0.003192470570786421,4.0,4
2017-11-07,2017-11-06,2017-11-07,2017-11-08,-0.00018910292286977715,1.0,1
2017-11-09,2017-11-08,2017-11-15,2017-11-21,-0.01147085892168509,12.0,8
2017-11-22,2017-11-21,2017-11-22,2017-11-24,-0.0007502611166068096,2.0,1
2017-11-27,2017-11-24,2017-11-27,2017-11-28,-0.0003842577408796899,1.0,1
2017-11-29,2017-11-28,2017-11-29,2017-11-30,-0.000369225702197995,1.0,1
2017-12-01,2017-11-30,2017-12-06,2017-12-08,-0.006915771403868898,7.0,5
2017-12-13,2017-12-12,2017-12-14,2017-12-15,-0.004541890976105134,2.0,2
2017-12-19,2017-12-18,2017-12-29,2018-01-02,-0.0061519780340950625,14.0,8
2018-01-10,2018-01-09,2018-01-10,2018-01-11,-0.0011122268282528491,1.0,1
2018-01-16,2018-01-12,2018-01-16,2018-01-17,-0.003524487622672101,1.0,1
2018-01-18,2018-01-17,2018-01-18,2018-01-19,-0.0016163897301626484,1.0,1
2018-01-24,2018-01-23,2018-01-24,2018-01-25,-0.0005599757022828333,1.0,1
2018-01-29,2018-01-26,2018-02-08,2018-08-24,-0.10159530548956275,207.0,145
2018-08-30,2018-08-29,2018-09-07,2018-09-20,-0.014536556414476376,21.0,14
2018-09-21,2018-09-20,2018-12-24,2019-04-23,-0.19778210435681998,214.0,145
2019-04-24,2019-04-23,2019-04-25,2019-04-26,-0.0025599281246148076,2.0,2
2019-05-01,2019-04-30,2019-06-03,2019-06-20,-0.0683610804467385,50.0,35
2019-06-21,2019-06-20,2019-06-26,2019-07-01,-0.013675504972140873,10.0,6
2019-07-05,2019-07-03,2019-07-08,2019-07-11,-0.006632613686435973,6.0,4
2019-07-16,2019-07-15,2019-07-19,2019-07-24,-0.012503712568661784,8.0,6
2019-07-25,2019-07-24,2019-07-25,2019-07-26,-0.005262401280453521,1.0,1
2019-07-29,2019-07-26,2019-08-14,2019-10-28,-0.06122556998296669,91.0,64
2019-10-29,2019-10-28,2019-10-29,2019-10-30,-0.0008324053147991117,1.0,1
2019-10-31,2019-10-30,2019-10-31,2019-11-01,-0.0030228605633046968,1.0,1
2019-11-05,2019-11-04,2019-11-05,2019-11-07,-0.001185699214361291,2.0,2
2019-11-11,2019-11-08,2019-11-11,2019-11-13,-0.0019624672514313435,2.0,2
2019-11-19,2019-11-18,2019-11-21,2019-11-25,-0.005922425492665528,6.0,4
2019-11-29,2019-11-27,2019-12-03,2019-12-12,-0.019162024044093506,13.0,9
2019-12-18,2019-12-17,2019-12-18,2019-12-19,-0.00043230017186479675,1.0,1
2019-12-24,2019-12-23,2019-12-24,2019-12-26,-0.00019544819997963092,2.0,1
2019-12-30,2019-12-27,2019-12-30,2020-01-02,-0.005780822450430323,3.0,2
2020-01-03,2020-01-02,2020-01-03,2020-01-09,-0.007059870562045378,6.0,4
2020-01-10,2020-01-09,2020-01-10,2020-01-13,-0.002855178689662563,3.0,1
2020-01-14,2020-01-13,2020-01-14,2020-01-15,-0.001514532772802224,1.0,1
2020-01-21,2020-01-17,2020-01-31,2020-02-05,-0.03126485724869488,15.0,11
2020-02-07,2020-02-06,2020-02-07,2020-02-10,-0.005400853672730133,3.0,1
2020-02-13,2020-02-12,2020-02-13,2020-02-14,-0.0016304457368023773,1.0,1
2020-02-18,2020-02-14,2020-02-18,2020-02-19,-0.002919942636890105,1.0,1
2020-02-20,2020-02-19,2020-03-23,2020-08-18,-0.3392496000265327,180.0,125
2020-08-19,2020-08-18,2020-08-19,2020-08-21,-0.0044043954214108005,2.0,2
2020-08-31,2020-08-28,2020-08-31,2020-09-01,-0.0021949627140287475,1.0,1
2020-09-03,2020-09-02,2020-09-23,2020-11-13,-0.09604454752912994,71.0,50
2020-11-17,2020-11-16,2020-11-20,2020-11-24,-0.01912643951129467,7.0,5
2020-11-25,2020-11-24,2020-11-25,2020-11-27,-0.001584418237524976,2.0,1
2020-11-30,2020-11-27,2020-11-30,2020-12-01,-0.004595548640170977,1.0,1
2020-12-03,2020-12-02,2020-12-03,2020-12-04,-0.000624157213091503,1.0,1
2020-12-07,2020-12-04,2020-12-07,2020-12-08,-0.0019356376714373402,1.0,1
2020-12-09,2020-12-08,2020-12-14,2020-12-17,-0.01479100810740086,8.0,6
2020-12-18,2020-12-17,2020-12-22,2020-12-28,-0.009461426491994218,10.0,5
2020-12-29,2020-12-28,2020-12-29,2020-12-31,-0.00222738052560012,2.0,2
2021-01-04,2020-12-31,2021-01-04,2021-01-07,-0.014754827521051062,3.0,3
2021-01-11,2021-01-08,2021-01-15,2021-01-20,-0.014754157903199783,9.0,6
2021-01-22,2021-01-21,2021-01-22,2021-01-25,-0.0030106116552376383,3.0,1
2021-01-26,2021-01-25,2021-01-29,2021-02-04,-0.03660361503347831,9.0,7
2021-02-09,2021-02-08,2021-02-10,2021-02-11,-0.001458325552458728,2.0,2
2021-02-16,2021-02-12,2021-03-04,2021-03-11,-0.042278854262786325,23.0,17
2021-03-16,2021-03-15,2021-03-16,2021-03-17,-0.0015696837343783798,1.0,1
2021-03-18,2021-03-17,2021-03-24,2021-03-26,-0.021383406163756224,8.0,6
2021-03-29,2021-03-26,2021-03-30,2021-04-01,-0.004023104579957026,3.0,3
2021-04-06,2021-04-05,2021-04-06,2021-04-07,-0.0009735307519511682,1.0,1
2021-04-12,2021-04-09,2021-04-12,2021-04-13,-0.00019607884876882142,1.0,1
2021-04-14,2021-04-13,2021-04-14,2021-04-15,-0.004087726727828533,1.0,1
2021-04-19,2021-04-16,2021-04-20,2021-04-26,-0.01207278294761116,7.0,5
2021-04-27,2021-04-26,2021-04-28,2021-04-29,-0.0010602541018529532,2.0,2
2021-04-30,2021-04-29,2021-05-04,2021-05-07,-0.01111489722253367,7.0,5
2021-05-10,2021-05-07,2021-05-12,2021-06-10,-0.040060495837450305,31.0,22
2021-06-15,2021-06-14,2021-06-18,2021-06-24,-0.02084526022982036,9.0,7
2021-07-06,2021-07-02,2021-07-06,2021-07-07,-0.0020218560598241897,1.0,1
2021-07-08,2021-07-07,2021-07-08,2021-07-09,-0.008561024934316985,1.0,1
2021-07-13,2021-07-12,2021-07-19,2021-07-23,-0.028768596622478992,10.0,8
2021-07-27,2021-07-26,2021-08-02,2021-08-03,-0.007946012253681412,7.0,5
2021-08-04,2021-08-03,2021-08-04,2021-08-05,-0.004632387901412294,1.0,1
2021-08-09,2021-08-06,2021-08-09,2021-08-10,-0.0009399082741974318,1.0,1
2021-08-17,2021-08-16,2021-08-18,2021-08-24,-0.017733277845877526,7.0,5
2021-08-26,2021-08-25,2021-08-26,2021-08-27,-0.005824918819612557,1.0,1
2021-08-31,2021-08-30,2021-08-31,2021-09-02,-0.0013491160395050494,2.0,2
2021-09-03,2021-09-02,2021-10-04,2021-10-21,-0.0521253759010486,48.0,33
2021-10-22,2021-10-21,2021-10-22,2021-10-25,-0.0010725536274130976,3.0,1
2021-10-27,2021-10-26,2021-10-27,2021-10-28,-0.005051568068462853,1.0,1
2021-11-09,2021-11-08,2021-11-10,2021-11-18,-0.011695818978382344,9.0,7
2021-11-19,2021-11-18,2021-12-01,2021-12-10,-0.04070536086630083,21.0,14
2021-12-13,2021-12-10,2021-12-20,2021-12-23,-0.030560141808210095,10.0,8
2021-12-28,2021-12-27,2021-12-28,2021-12-29,-0.0010101548486260992,1.0,1
2021-12-30,2021-12-29,2021-12-31,2022-01-03,-0.005608083872077785,4.0,2
2022-01-04,2022-01-03,2022-10-12,2024-01-19,-0.2542509661923039,745.0,512
2024-01-26,2024-01-25,2024-01-26,2024-01-29,-0.0006517852510764532,3.0,1
2024-01-30,2024-01-29,2024-01-31,2024-02-02,-0.016696720631691142,3.0,3
2024-02-05,2024-02-02,2024-02-05,2024-02-07,-0.0031863375266721894,2.0,2
2024-02-12,2024-02-09,2024-02-13,2024-02-15,-0.014610233020612817,3.0,3
2024-02-16,2024-02-15,2024-02-20,2024-02-22,-0.010779945455182682,6.0,3
2024-02-26,2024-02-23,2024-02-26,2024-02-29,-0.003786751350190576,3.0,3
2024-03-04,2024-03-01,2024-03-05,2024-03-07,-0.01137419991369426,3.0,3
2024-03-08,2024-03-07,2024-03-11,2024-03-12,-0.0076434305381047896,4.0,2
2024-03-13,2024-03-12,2024-03-15,2024-03-19,-0.011241959465241536,6.0,4
2024-03-22,2024-03-21,2024-03-26,2024-03-27,-0.007240196772080099,5.0,3
2024-04-01,2024-03-28,2024-04-19,2024-05-15,-0.05464426843494352,44.0,32
2024-05-16,2024-05-15,2024-05-16,2024-05-21,-0.0020816677921287052,5.0,3
2024-05-22,2024-05-21,2024-05-30,2024-06-05,-0.016148008377126266,14.0,9
2024-06-06,2024-06-05,2024-06-07,2024-06-10,-0.001314813526209102,4.0,2
2024-06-14,2024-06-13,2024-06-14,2024-06-17,-0.000393860697500914,3.0,1
2024-06-20,2024-06-18,2024-06-24,2024-07-02,-0.007136769710032631,12.0,8
2024-07-11,2024-07-10,2024-07-11,2024-07-16,-0.008763028841120457,5.0,3
2024-07-17,2024-07-16,2024-08-05,2024-09-19,-0.08485144350207374,64.0,45
2024-09-20,2024-09-19,2024-09-20,2024-09-23,-0.0019410273951238066,3.0,1
2024-09-25,2024-09-24,2024-09-25,2024-09-26,-0.0018612489301417234,1.0,1
