strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,dd_cap_days,lead_blocked_days,cap_type,default_cap,allow_3x_dd,mode,use_spx_lead,min_margin,score_lambda,trigger_a,trigger_b
"flat cap 1x, 3x if DD<=-25% + momentum",0.06837913695576758,0.18010242256967204,1.9879741287603676,-0.6741307726548371,0.10143304493648816,719.9116223242331,809,1996.717102421289,,34.07525172231055,58.08161102278749,0.5696873343932167,7.273449920508744,,,,risk_cap_sweep,34.07525172231055,3808.0,0.0,flat,1.0,0.25,momentum,False,0.0,,,
"flat cap 1x, 3x if DD<=-25% + momentum min_m=0.5%",0.06837913695576758,0.18010242256967204,1.9879741287603676,-0.6741307726548371,0.10143304493648816,719.9116223242331,809,1996.717102421289,,34.07525172231055,58.08161102278749,0.5696873343932167,7.273449920508744,,,,risk_cap_sweep,34.07525172231055,3808.0,0.0,flat,1.0,0.25,momentum,False,0.005,,,
"flat cap 1x, 3x if DD<=-25% + momentum + SPX lead",0.1009397937211709,0.16838111836577338,2.5442301957081246,-0.5381373169622077,0.18757255915827836,1771.6208034018505,858,3776.0369245584625,,37.86433492315845,54.729729729729726,0.45045045045045046,6.955484896661367,,,,risk_cap_sweep,37.86433492315845,3642.0,286.0,flat,1.0,0.25,momentum,True,0.0,,,
"flat cap 1x, 3x if DD<=-25% + momentum + SPX lead min_m=0.5%",0.1009397937211709,0.16838111836577338,2.5442301957081246,-0.5381373169622077,0.18757255915827836,1771.6208034018505,858,3776.0369245584625,,37.86433492315845,54.729729729729726,0.45045045045045046,6.955484896661367,,,,risk_cap_sweep,37.86433492315845,3642.0,286.0,flat,1.0,0.25,momentum,True,0.005,,,
"flat cap 1x, 3x if DD<=-30% + greedy",0.15296072361836366,0.17600145399663195,2.8205792732987094,-0.35625367344514747,0.4293590074150213,7076.470925003947,905,14173.290619828,,34.44621091679915,60.70482246952835,0.27821939586645467,4.5707472178060415,,,,risk_cap_sweep,34.44621091679915,4298.0,0.0,flat,1.0,0.3,greedy,False,0.0,,,
"flat cap 1x, 3x if DD<=-30% + greedy min_m=0.5%",0.11576591982060602,0.17036446737184666,2.7544107979898236,-0.41840033699783646,0.27668696600788023,2646.260446765973,927,9718.565589802685,,40.62003179650239,54.782723900370954,0.23847376788553257,4.358770535241123,,,,risk_cap_sweep,40.62003179650238,4026.0,0.0,flat,1.0,0.3,greedy,False,0.005,,,
"flat cap 1x, 3x if DD<=-30% + greedy + SPX lead",0.16387067150756662,0.17464656390617236,2.927445929170785,-0.35625367344514747,0.4599831067645057,9386.555958091514,921,16632.50660877708,,34.85691573926868,60.29411764705882,0.27821939586645467,4.5707472178060415,,,,risk_cap_sweep,34.85691573926868,4267.0,31.0,flat,1.0,0.3,greedy,True,0.0,,,
"flat cap 1x, 3x if DD<=-30% + greedy + SPX lead min_m=0.5%",0.12725901323145483,0.1692209984123058,2.8358116253850065,-0.35187130236697967,0.3616635183813077,3598.5955563425196,927,10929.134111021365,,40.85850556438791,54.54425013248543,0.23847376788553257,4.358770535241123,,,,risk_cap_sweep,40.85850556438792,4008.0,18.0,flat,1.0,0.3,greedy,True,0.005,,,
"flat cap 1x, 3x if DD<=-30% + best_margin",0.15595034216445258,0.1702120713515578,2.9208695390573007,-0.3363019358619044,0.4637212145828695,7648.073509253708,929,15356.990718809499,,34.64493905670376,60.83730789613142,0.39745627980922094,4.12029676735559,,,,risk_cap_sweep,34.64493905670376,4055.0,0.0,flat,1.0,0.3,best_margin,False,0.0,,,
"flat cap 1x, 3x if DD<=-30% + best_margin min_m=0.5%",0.11699897457326713,0.16629362722409055,2.8253110382770825,-0.3967403810103176,0.2949005953851329,2735.4015291068085,938,9955.157067085713,,40.62003179650239,54.92845786963434,0.3444621091679915,4.1070482246952835,,,,risk_cap_sweep,40.62003179650238,3962.0,0.0,flat,1.0,0.3,best_margin,False,0.005,,,
"flat cap 1x, 3x if DD<=-30% + best_margin + SPX lead",0.16857644431678054,0.16890865234144886,3.0203107530756648,-0.3363019358619044,0.5012651618693121,10594.273341145601,935,18393.8886956863,,34.949655537890834,60.532591414944356,0.39745627980922094,4.12029676735559,,,,risk_cap_sweep,34.949655537890834,4032.0,23.0,flat,1.0,0.3,best_margin,True,0.0,,,
"flat cap 1x, 3x if DD<=-30% + best_margin + SPX lead min_m=0.5%",0.12852478521980526,0.16512182263934594,2.909708474299189,-0.3606447946685687,0.3563749903500454,3721.796254783523,938,11209.86315078053,,40.85850556438791,54.68998410174881,0.3444621091679915,4.1070482246952835,,,,risk_cap_sweep,40.85850556438792,3944.0,18.0,flat,1.0,0.3,best_margin,True,0.005,,,
"flat cap 1x, 3x if DD<=-30% + momentum",0.07487331720782908,0.1699272807419713,1.969118991195502,-0.5077644931655474,0.14745678009316418,863.4255151937926,764,2212.6185702682383,,34.07525172231055,61.34075251722311,0.41070482246952833,4.17329093799682,,,,risk_cap_sweep,34.07525172231055,4054.0,0.0,flat,1.0,0.3,momentum,False,0.0,,,
"flat cap 1x, 3x if DD<=-30% + momentum min_m=0.5%",0.07487331720782908,0.1699272807419713,1.969118991195502,-0.5077644931655474,0.14745678009316418,863.4255151937926,764,2212.6185702682383,,34.07525172231055,61.34075251722311,0.41070482246952833,4.17329093799682,,,,risk_cap_sweep,34.07525172231055,4054.0,0.0,flat,1.0,0.3,momentum,False,0.005,,,
"flat cap 1x, 3x if DD<=-30% + momentum + SPX lead",0.10492010697962795,0.15848298291965418,2.5268103114685494,-0.42201917092985675,0.24861455167653174,1974.1654558335385,822,4068.4723828176557,,37.86433492315845,57.88288288288288,0.3179650238473768,3.9348171701112875,,,,risk_cap_sweep,37.86433492315845,3880.0,286.0,flat,1.0,0.3,momentum,True,0.0,,,
"flat cap 1x, 3x if DD<=-30% + momentum + SPX lead min_m=0.5%",0.10492010697962795,0.15848298291965418,2.5268103114685494,-0.42201917092985675,0.24861455167653174,1974.1654558335385,822,4068.4723828176557,,37.86433492315845,57.88288288288288,0.3179650238473768,3.9348171701112875,,,,risk_cap_sweep,37.86433492315845,3880.0,286.0,flat,1.0,0.3,momentum,True,0.005,,,
"flat cap 1x, 3x if DD<=-35% + greedy",0.17917193154112265,0.16786086191402652,2.856896488388935,-0.22593005048872827,0.7930416124527959,13888.496386950534,862,23820.57451272306,,34.44621091679915,62.55961844197139,0.18547959724430313,2.808691043985162,,,,risk_cap_sweep,34.44621091679915,4438.0,0.0,flat,1.0,0.35,greedy,False,0.0,,,
"flat cap 1x, 3x if DD<=-35% + greedy min_m=0.5%",0.1372778731259412,0.16289578243244368,2.797217466051799,-0.35510759657120106,0.3865810657148705,4692.491027840171,898,14442.488854361029,,40.62003179650239,56.4785373608903,0.19872813990461047,2.7027027027027026,,,,risk_cap_sweep,40.62003179650238,4154.0,0.0,flat,1.0,0.35,greedy,False,0.005,,,
"flat cap 1x, 3x if DD<=-35% + greedy + SPX lead",0.19047853644604018,0.1664456858179054,2.970358912266804,-0.20811889344544046,0.9152390409762351,18491.46483671816,878,28740.762977945047,,34.85691573926868,62.148913619501855,0.18547959724430313,2.808691043985162,,,,risk_cap_sweep,34.85691573926868,4407.0,31.0,flat,1.0,0.35,greedy,True,0.0,,,
"flat cap 1x, 3x if DD<=-35% + greedy + SPX lead min_m=0.5%",0.14926438898941252,0.16170305311595162,2.883557637380707,-0.3395356019143484,0.4396133664565347,6426.663492467667,898,16666.233654585194,,40.85850556438791,56.24006359300478,0.19872813990461047,2.7027027027027026,,,,risk_cap_sweep,40.85850556438792,4136.0,18.0,flat,1.0,0.35,greedy,True,0.005,,,
"flat cap 1x, 3x if DD<=-35% + best_margin",0.17832357678125432,0.16281616627809634,2.9531592588269118,-0.2258840219530979,0.7894475015956687,13591.880598467273,882,23885.166147394564,,34.64493905670376,62.5993640699523,0.25172231054584,2.5039745627980925,,,,risk_cap_sweep,34.64493905670376,4188.0,0.0,flat,1.0,0.35,best_margin,False,0.0,,,
"flat cap 1x, 3x if DD<=-35% + best_margin min_m=0.5%",0.13688664788127247,0.15884048281458504,2.8620807536375175,-0.3549497971883028,0.3856507285413474,4644.311657436743,905,14326.97592367663,,40.62003179650239,56.62427133015369,0.25172231054584,2.5039745627980925,,,,risk_cap_sweep,40.62003179650238,4090.0,0.0,flat,1.0,0.35,best_margin,False,0.005,,,
"flat cap 1x, 3x if DD<=-35% + best_margin + SPX lead",0.19134867778094233,0.16145826970192698,3.058446212797193,-0.20816252152614742,0.919227324775209,18901.20683178803,888,29372.512816585837,,34.949655537890834,62.29464758876524,0.25172231054584,2.5039745627980925,,,,risk_cap_sweep,34.949655537890834,4165.0,23.0,flat,1.0,0.35,best_margin,True,0.0,,,
"flat cap 1x, 3x if DD<=-35% + best_margin + SPX lead min_m=0.5%",0.14886540702370987,0.15761734739121647,2.951701969970573,-0.3394436023401996,0.4385571152244399,6360.075428599927,905,16526.865056958075,,40.85850556438791,56.385797562268145,0.25172231054584,2.5039745627980925,,,,risk_cap_sweep,40.85850556438792,4072.0,18.0,flat,1.0,0.35,best_margin,True,0.005,,,
"flat cap 1x, 3x if DD<=-35% + momentum",0.08731139806407251,0.16161291226195135,2.013029703854855,-0.3685496438763017,0.23690539257006393,1219.2818734905036,730,2720.880933711794,,34.07525172231055,63.06306306306306,0.2649708532061473,2.5967143614202435,,,,risk_cap_sweep,34.07525172231055,4184.0,0.0,flat,1.0,0.35,momentum,False,0.0,,,
"flat cap 1x, 3x if DD<=-35% + momentum min_m=0.5%",0.08731139806407251,0.16161291226195135,2.013029703854855,-0.3685496438763017,0.23690539257006393,1219.2818734905036,730,2720.880933711794,,34.07525172231055,63.06306306306306,0.2649708532061473,2.5967143614202435,,,,risk_cap_sweep,34.07525172231055,4184.0,0.0,flat,1.0,0.35,momentum,False,0.005,,,
"flat cap 1x, 3x if DD<=-35% + momentum + SPX lead",0.1163739353124762,0.1512691302894159,2.5597778730183767,-0.30955961543763727,0.3759338412019718,2689.8588839166455,798,4990.09859105137,,37.86433492315845,59.446210916799146,0.23847376788553257,2.450980392156863,,,,risk_cap_sweep,37.86433492315845,3998.0,286.0,flat,1.0,0.35,momentum,True,0.0,,,
"flat cap 1x, 3x if DD<=-35% + momentum + SPX lead min_m=0.5%",0.1163739353124762,0.1512691302894159,2.5597778730183767,-0.30955961543763727,0.3759338412019718,2689.8588839166455,798,4990.09859105137,,37.86433492315845,59.446210916799146,0.23847376788553257,2.450980392156863,,,,risk_cap_sweep,37.86433492315845,3998.0,286.0,flat,1.0,0.35,momentum,True,0.005,,,
