Strategy,Variant,Leverage,CAGR_pct,Vol_pct,Sharpe,Sortino,Calmar,MaxDD_pct,End_Value,Trades_Per_Year,Total_Trades,Pct_Cash_Time,Avg_Leverage,Direction,SMA,UpBand,LoBand,Stop,Trail,Bmode,N,Param,Class
B-decay conv SMA50 e3% N10 d1% 2x,B-decay,2,4.093672271772486,12.60294169204044,0.30710230207596817,0.2117331577076322,0.05807552994698217,-70.48876309023177,2149.10877443944,23.233435352233677,1777,72.86805591643714,2.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% 3x,B-decay,3,2.6162453635965033,18.927166040416445,0.293953807867098,0.20245730952891972,0.028114258312338263,-93.05759855127795,720.1549463163716,23.233435352233677,1777,72.86805591643714,3.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL1.0% 1x,B-decay,1,4.975631957187376,6.330858175733265,0.279753173322336,0.19275290480702686,0.12968974372875064,-38.365654940255226,4097.422966546412,23.233435352233677,1777,72.86805591643714,1.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL1.0% 2x,B-decay,2,4.093672271772486,12.60294169204044,0.30710230207596817,0.2117331577076322,0.05807552994698217,-70.48876309023177,2149.10877443944,23.233435352233677,1777,72.86805591643714,2.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL1.0% 3x,B-decay,3,2.6162453635965033,18.927166040416445,0.293953807867098,0.20245730952891972,0.028114258312338263,-93.05759855127795,720.1549463163716,23.233435352233677,1777,72.86805591643714,3.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL2.0% 1x,B-decay,1,4.975631957187376,6.330858175733265,0.279753173322336,0.19275290480702686,0.12968974372875064,-38.365654940255226,4097.422966546412,23.233435352233677,1777,72.86805591643714,1.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL2.0% 2x,B-decay,2,4.093672271772486,12.60294169204044,0.30710230207596817,0.2117331577076322,0.05807552994698217,-70.48876309023177,2149.10877443944,23.233435352233677,1777,72.86805591643714,2.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d1% SL2.0% 3x,B-decay,3,2.6162453635965033,18.927166040416445,0.293953807867098,0.20245730952891972,0.028114258312338263,-93.05759855127795,720.1549463163716,23.233435352233677,1777,72.86805591643714,3.0,conv,50,0.03,0.03,0.02,0.0,decay,10,0.01,Neither
B-decay conv SMA50 e3% N10 d2% 1x,B-decay,1,5.699464718983305,6.997787200074766,0.23587039653850658,0.17885829452352683,0.20039947445471815,-28.44051729422646,6930.475569763301,13.584434063573882,1039,67.01138076183547,1.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% 2x,B-decay,2,5.352013279823042,13.932141586393284,0.25292210468158227,0.19165748274335223,0.08134241945962033,-65.79609157654657,5387.583243590047,13.584434063573882,1039,67.01138076183547,2.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% 3x,B-decay,3,4.367298730987579,20.93125015316319,0.24409904655070247,0.18490977783415302,0.047977982391521776,-91.02714439612049,2626.996427570918,13.584434063573882,1039,67.01138076183547,3.0,conv,50,0.03,0.03,0.0,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% SL1.0% 1x,B-decay,1,5.6145800491453235,6.571865471020912,0.21895407033394879,0.1551315943781124,0.19306109135844743,-29.081882888152734,6517.434629160079,13.584434063573882,1039,70.37883905835889,1.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% SL1.0% 2x,B-decay,2,5.220742095404374,13.079201574686431,0.23782747389021572,0.16836737618100142,0.07932538656884652,-65.8142660404597,4897.553535319979,13.584434063573882,1039,70.37883905835889,2.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.02,Neither
B-decay conv SMA50 e3% N10 d2% SL1.0% 3x,B-decay,3,4.204536857948438,19.64926398006611,0.2281292973308148,0.16156346947295439,0.04652171382429668,-90.37794423971874,2331.4013586789847,13.584434063573882,1039,70.37883905835889,3.0,conv,50,0.03,0.03,0.01,0.0,decay,10,0.02,Neither
