strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x
Guarded max 1x (X=0.096),0.096,cross below SMA20+9.60%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.097),0.097,cross below SMA20+9.70%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.098),0.098,cross below SMA20+9.80%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.099),0.099,cross below SMA20+9.90%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.1),0.1,cross below SMA20+10.00%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.101),0.101,cross below SMA20+10.10%,0.14138300876570997,0.17746322273345788,0.7110326723302666,-0.4177921349422387,0.33840514682081485,2984.943111847982,8,94.43662893338025,0.33945378799567966,0.33945378799567966,10,2,814,1964,7,99.66054621200432
Guarded max 1x (X=0.102),0.102,cross below SMA20+10.20%,0.14153009992622945,0.1774933680418717,0.7073858409426126,-0.41564104014052294,0.3405104074380622,2994.8672154062124,6,72.89404201903562,0.3240240703595124,0.3240240703595124,10,2,814,1964,6,99.67597592964049
Guarded max 1x (X=0.103),0.103,cross below SMA20+10.30%,0.14153009992622945,0.1774933680418717,0.7073858409426126,-0.41564104014052294,0.3405104074380622,2994.8672154062124,6,72.89404201903562,0.3240240703595124,0.3240240703595124,10,2,814,1964,6,99.67597592964049
Guarded max 1x (X=0.104),0.104,cross below SMA20+10.40%,0.14153009992622945,0.1774933680418717,0.7073858409426126,-0.41564104014052294,0.3405104074380622,2994.8672154062124,6,72.89404201903562,0.3240240703595124,0.3240240703595124,10,2,814,1964,5,99.67597592964049
Guarded max 1x (X=0.105),0.105,cross below SMA20+10.50%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,4,99.69140564727665
Guarded max 1x (X=0.106),0.106,cross below SMA20+10.60%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,4,99.69140564727665
Guarded max 1x (X=0.107),0.107,cross below SMA20+10.70%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,3,99.69140564727665
Guarded max 1x (X=0.108),0.108,cross below SMA20+10.80%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.109),0.109,cross below SMA20+10.90%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.11),0.11,cross below SMA20+11.00%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.111),0.111,cross below SMA20+11.10%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.112),0.112,cross below SMA20+11.20%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.113),0.113,cross below SMA20+11.30%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,2,99.69140564727665
Guarded max 1x (X=0.114),0.114,cross below SMA20+11.40%,0.1417580281792461,0.17751390373252993,0.7043721609795435,-0.4158084547671292,0.34092146649263483,3010.307996108904,4,65.67078082815028,0.3085943527233452,0.3085943527233452,10,2,814,1964,1,99.69140564727665
