strategy,sell_buffer_x,sell_label,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,pct_days_cash,pct_cash_sessions,tier2_entries,tier3_entries,lead_only_days,guard_blocked_days,buffer_exits,pct_days_1x,delta_cagr_pp,delta_sharpe,delta_max_dd_pp,delta_end_$,beats_baseline
Guarded max 1x (X=-0.041),-0.041,cross below SMA20-4.10%,0.16455134031688035,0.16136332158833677,1.1448626286819166,-0.27615317125329036,0.5958698195283525,5008.752803113279,104,1327.4863601013417,8.94923622897701,8.949236228977009,10,2,814,1964,42,91.05076377102299,-2.115220740493595,-2.030973542997949,-5.9907387800353815,-2954.4889079727673,False
Guarded max 1x (X=0.022),0.022,cross below SMA20+2.20%,0.1622353314781213,0.16803328577000645,1.138478428961768,-0.40465647493148055,0.4009211307086886,4758.393675125553,126,1773.2177746081138,4.9837987964820245,4.9837987964820245,10,2,814,1964,301,95.01620120351798,-2.3468216243694995,-2.0373577427180978,-18.8410691478544,-3204.848035960493,False
Guarded max 1x (X=-0.042),-0.042,cross below SMA20-4.20%,0.16334975329686618,0.1615938995950248,1.1307394625651845,-0.2866839668455519,0.569790334263336,4877.32230794208,102,1247.1745664363,8.794939052615337,8.794939052615337,10,2,814,1964,41,91.20506094738467,-2.2353794424950113,-2.045096709114681,-7.043818339261537,-3085.9194031439656,False
Guarded max 1x (X=0.023),0.023,cross below SMA20+2.30%,0.16357335150300312,0.1683286752602732,1.1129790509251705,-0.4018917038427411,0.4070085297580784,4901.525920231975,112,1756.7448981939142,4.289461502854498,4.289461502854498,10,2,814,1964,285,95.7105384971455,-2.213019621881318,-2.0628571207546953,-18.564592038980454,-3061.715790854071,False
Guarded max 1x (X=-0.043),-0.043,cross below SMA20-4.30%,0.1616800435043082,0.16193808462488632,1.112403511545731,-0.28578490532931233,0.5657403189927156,4700.179973294587,100,1194.8426619344466,8.486344699891992,8.486344699891992,10,2,814,1964,40,91.51365530010801,-2.4023504217508096,-2.0634326601341346,-6.953912187637579,-3263.0617377914587,False
Guarded max 1x (X=-0.044),-0.044,cross below SMA20-4.40%,0.1596652761809061,0.1623466732834535,1.0892306806371657,-0.29623886335014893,0.5389747799301561,4494.655306871631,96,1108.8422951775485,8.054312606079309,8.054312606079309,10,2,814,1964,38,91.9456873939207,-2.6038271540910207,-2.0866054910427003,-7.999307989721238,-3468.586404214415,False
Guarded max 1x (X=-0.045),-0.045,cross below SMA20-4.50%,0.1574945369538172,0.1629096583488939,1.0632789814044983,-0.3217910205762345,0.4894311117562887,4282.893396548317,92,1002.3617881476667,7.575991359358124,7.575991359358124,10,2,814,1964,36,92.42400864064187,-2.8209010767999088,-2.1125571902753677,-10.554523712329795,-3680.3483145377295,False
Guarded max 1x (X=0.024),0.024,cross below SMA20+2.40%,0.16181928991496108,0.1692632362418787,1.0597143113948024,-0.4183216474378686,0.3868298255805549,4714.713251785009,96,1286.2536096382132,3.6414133621354727,3.6414133621354727,10,2,814,1964,271,96.35858663786453,-2.3884257806855214,-2.1161218602850633,-20.207586398493206,-3248.5284593010374,False
Guarded max 1x (X=-0.046),-0.046,cross below SMA20-4.60%,0.1577965930145706,0.1631942098772311,1.0541115401089935,-0.32551643165403,0.48475768861426394,4311.774681223243,88,980.2487628292582,7.159388983181608,7.159388983181608,10,2,814,1964,34,92.8406110168184,-2.790695470724569,-2.1217246315708724,-10.927064820109344,-3651.4670298628034,False
Guarded max 1x (X=-0.047),-0.047,cross below SMA20-4.70%,0.15600527138714226,0.1634449397457179,1.038017609218272,-0.34156906060674147,0.4567312715912397,4143.193539161635,86,937.164520887515,6.958802653911434,6.958802653911434,10,2,814,1964,33,93.04119734608857,-2.9698276334674034,-2.137818562461594,-12.532327715380493,-3820.048171924411,False
