strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA200 1x/cash in+0.5%/out-2%,0.13009735510311105,0.12178146737050642,1.0857956615500937,-0.18271526913515374,0.7120223488649904,3880.545808495838,78,775.5822530478472,,26.073131955484897,73.9268680445151,0.0,0.0,,,,buffer,26.073131955484897,200.0,1.0,0.005,0.02,1.0,,
SMA200 2x/cash in+2%/out-0%,0.1842966877372556,0.2192999972809094,1.0838494393196552,-0.27940525709831987,0.6596035080055902,15817.90445234643,98,3620.4653145178218,,31.90249072602014,0.0,68.09750927397987,0.0,,,,buffer,31.902490726020137,200.0,2.0,0.02,0.0,1.0,,
SMA200 2x/cash in+1%/out-1%,0.19532275330793825,0.2284407697338022,1.0774723861980053,-0.27247557811586887,0.7168449908742949,20886.832084634323,90,4474.850946022625,,28.68309485956545,0.0,71.31690514043456,0.0,,,,buffer,28.683094859565447,200.0,2.0,0.01,0.01,1.0,,
SMA100 3x/cash in+0%/out-2%,0.22370541018652923,0.35361388429136403,1.0716315957077513,-0.7573463673291466,0.29538058124639516,42226.15416496763,140,12192.59735298976,,25.66242713301537,0.0,0.0,74.33757286698463,,,,buffer,25.662427133015367,100.0,3.0,0.0,0.02,1.0,,
SMA100 1x/cash in+2%/out-2%,0.1148770099714902,0.11421662780589742,1.0708763051175363,-0.19844550892691143,0.5788844030418447,2583.7473324765224,100,656.8283521808625,,31.73025967143614,68.26974032856386,0.0,0.0,,,,buffer,31.73025967143614,100.0,1.0,0.02,0.02,1.0,,
SMA200 3x/cash in+1%/out-0.5%,0.24944112657199158,0.3394378316875346,1.0697636686491954,-0.415067734819838,0.6009648682527988,78833.70114001501,100,16002.580959077091,,29.186539480657125,0.0,0.0,70.81346051934287,,,,buffer,29.186539480657128,200.0,3.0,0.01,0.005,1.0,,
SMA200 1x/cash in+1%/out-2%,0.13042208253736876,0.12065033070467984,1.0619566918238217,-0.19338470837834068,0.6744177635917783,3914.1325637233813,66,670.0920226568576,,27.08002119766826,72.91997880233174,0.0,0.0,,,,buffer,27.080021197668255,200.0,1.0,0.01,0.02,1.0,,
SMA200 3x/cash in+0.5%/out-1%,0.23437961747028635,0.3461848071549991,1.0405376197171752,-0.4521218024781772,0.5183992813122505,54792.597816280984,108,12489.934579960254,,27.503974562798096,0.0,0.0,72.49602543720191,,,,buffer,27.503974562798092,200.0,3.0,0.005,0.01,1.0,,
SMA100 2x/cash in+1%/out-2%,0.17120928609807096,0.22951211866696275,1.0305924994452649,-0.4677901970494369,0.3659958827225643,11334.13916640752,114,3185.9037084689166,,28.272390037095917,0.0,71.72760996290408,0.0,,,,buffer,28.27239003709592,100.0,2.0,0.01,0.02,1.0,,
SMA200 2x/cash in+0%/out-2%,0.19453475077901428,0.2380800303561319,1.0246389973147143,-0.31777384942377607,0.6121798603999887,20477.73000298183,88,4768.790930223242,,25.49019607843137,0.0,74.50980392156863,0.0,,,,buffer,25.49019607843137,200.0,2.0,0.0,0.02,1.0,,
