strategy,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,rebalances,trading_costs_total,funding_costs_total,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x,tier2_entries,tier3_entries,lead_only_days,family,pct_cash,sma_window,leverage,entry_buffer,exit_buffer,confirm_days,tier_margin_2x,tier_margin_3x
SMA30 1x/cash in+0.5%/out-0.5%,0.15975321079417548,0.110110854807297,2.481209716343055,-0.11377686948537993,1.4040921631676937,8439.92069531739,410,6460.405977929182,,35.532591414944356,64.46740858505564,0.0,0.0,,,,buffer,35.532591414944356,30.0,1.0,0.005,0.005,1.0,,
SMA30 1x/cash in+0.5%/out-1%,0.15355412182267147,0.11283116659499307,2.1885841916067417,-0.1377954488214172,1.1143627974366375,7186.537205588565,350,4661.900189628942,,32.829888712241655,67.17011128775835,0.0,0.0,,,,buffer,32.829888712241655,30.0,1.0,0.005,0.01,1.0,,
SMA30 1x/cash in+0.5%/out-2%,0.1515339533097837,0.12074614645602655,1.7007903223064404,-0.14305362016295994,1.0592808007037038,6818.454995199587,230,2951.5333713093105,,26.934287228404873,73.06571277159513,0.0,0.0,,,,buffer,26.934287228404877,30.0,1.0,0.005,0.02,1.0,,
SMA30 1x/cash in+1%/out-0%,0.14530399832383023,0.10295387857140968,2.546937833001075,-0.11694048127268689,1.2425466078338097,5794.507458764104,420,4948.2200060862,,42.2760996290408,57.72390037095919,0.0,0.0,,,,buffer,42.27609962904081,30.0,1.0,0.01,0.0,1.0,,
SMA30 1x/cash in+1%/out-0.5%,0.14746679944398733,0.10659002322922112,2.198897420696422,-0.11000723145039835,1.3405191413300797,6131.880936539649,332,4127.707948161197,,39.0169581346052,60.9830418653948,0.0,0.0,,,,buffer,39.01695813460519,30.0,1.0,0.01,0.005,1.0,,
SMA30 1x/cash in+1%/out-1%,0.14920682970641308,0.10952255146731711,2.033403806657393,-0.10568842473097358,1.4117613171566723,6417.015710670318,292,3578.837984894,,36.00953895071542,63.990461049284576,0.0,0.0,,,,buffer,36.009538950715424,30.0,1.0,0.01,0.01,1.0,,
SMA30 1x/cash in+1%/out-2%,0.14909063063991201,0.11824161388059631,1.647486479666946,-0.13553565956957386,1.1000103671121328,6397.581682206228,206,2574.651408310456,,28.921568627450984,71.07843137254902,0.0,0.0,,,,buffer,28.92156862745098,30.0,1.0,0.01,0.02,1.0,,
SMA30 1x/cash in+2%/out-0%,0.1152315790023477,0.09483198232763104,1.9833485166401754,-0.12730231003574466,0.9051805813263902,2608.509546355988,292,2179.9657175703815,,52.75569687334393,47.24430312665607,0.0,0.0,,,,buffer,52.75569687334393,30.0,1.0,0.02,0.0,1.0,,
SMA30 1x/cash in+2%/out-0.5%,0.12045027910451345,0.09916031731353206,1.8230356055635506,-0.10125632924023771,1.1895580257381912,3000.613259745552,252,2054.788133577892,,48.71489136195019,51.28510863804981,0.0,0.0,,,,buffer,48.71489136195019,30.0,1.0,0.02,0.005,1.0,,
SMA30 1x/cash in+2%/out-1%,0.12352060724849823,0.10210271484030445,1.723488834765584,-0.11461703289720834,1.0776810751965185,3257.3073934907907,228,1911.094902539757,,45.747217806041334,54.25278219395866,0.0,0.0,,,,buffer,45.747217806041334,30.0,1.0,0.02,0.01,1.0,,
