label,A_pct,B_pct,X_pct,Y_pct,trigger_a,trigger_b,x_return,y_return,cagr,ann_volatility,sharpe,max_drawdown,calmar,end_$,ulcer_index,max_dd_duration_days,rebalances,tier2_entries,tier3_entries,lead_only_days,pct_days_cash,pct_days_1x,pct_days_2x,pct_days_3x
A10/B15,10.0,15.0,40.0,15.0,0.1,0.15,0.4,0.15,0.7906687558476511,0.4277942198225474,3.0394845726305006,-0.35510504116756464,2.2265771086999453,3815840442.488411,0.09628933523691334,233.0,847,6,5,559,33.09037900874635,22.714020673204345,6.904320169626292,37.291280148423006
A10/B20,10.0,20.0,40.0,15.0,0.1,0.2,0.4,0.15,0.8230584817346864,0.4300172692136609,3.1137821282918736,-0.35510504116756375,2.3177887844918232,6531485942.330589,0.09731569603028833,216.0,837,10,3,559,31.963954412934005,13.013517095149748,21.004505698383248,34.018022793533
A10/B25,10.0,25.0,40.0,15.0,0.1,0.25,0.4,0.15,0.8126697068155699,0.42284600679574835,3.102128416231644,-0.3551050411675653,2.2885332862173904,5502986598.145603,0.09525595361063227,216.0,834,10,3,559,32.13623111582295,14.524251258945137,21.25629472568248,32.083222899549426
A10/B30,10.0,30.0,40.0,15.0,0.1,0.3,0.4,0.15,0.7872922110889673,0.41494056661730755,3.101462754524082,-0.35510504116756364,2.217068528513137,3605902643.7337456,0.09431485289467853,216.0,838,9,2,559,32.33501192684866,15.928968990193479,21.1767824012722,30.559236681685658
A10/B35,10.0,35.0,40.0,15.0,0.1,0.35,0.4,0.15,0.7754906388425786,0.40869406401728214,3.079688145188937,-0.3551050411675638,2.183834496668401,2956309661.612432,0.09341916610469547,216.0,824,9,1,559,32.321759872780284,15.094089583885504,24.80784521600848,27.776305327325733
A10/B40,10.0,40.0,40.0,15.0,0.1,0.4,0.4,0.15,0.7732970419536409,0.40618719952377336,3.100049657935617,-0.3551050411675649,2.1776571783128866,2848738338.124629,0.09344234657790565,216.0,831,9,1,559,32.13623111582295,14.259210177577526,27.140206732043463,26.464351974556056
A10/B45,10.0,45.0,40.0,15.0,0.1,0.45,0.4,0.15,0.7732970419536409,0.40618719952377336,3.100049657935617,-0.3551050411675649,2.1776571783128866,2848738338.124629,0.09344234657790565,216.0,831,9,1,559,32.13623111582295,14.259210177577526,27.140206732043463,26.464351974556056
A12/B15,12.0,15.0,40.0,15.0,0.12,0.15,0.4,0.15,0.8127998834818091,0.4261596906271412,3.0627440043882252,-0.3551050411675635,2.2888998725824146,5514847794.778483,0.09556904786283087,233.0,843,5,5,559,33.15663927908826,22.873045322024915,6.679035250463822,37.291280148423006
A12/B20,12.0,20.0,40.0,15.0,0.12,0.2,0.4,0.15,0.821114941151321,0.42321690467233786,3.069359473017972,-0.3551050411675646,2.3123156417367188,6325909120.2499275,0.0933949289307346,216.0,829,10,3,559,32.94460641399417,19.427511264245958,13.609859528226876,34.018022793533
A12/B25,12.0,25.0,40.0,15.0,0.12,0.25,0.4,0.15,0.8281064015132142,0.4208746397472946,3.1221967012112346,-0.3551050411675643,2.3320040706559655,7096050401.095601,0.09445666463779656,216.0,834,11,3,559,32.228995494301614,15.107341637953883,20.58043996819507,32.083222899549426
